school_name,lat,long
WOODLANDS RING SECONDARY SCHOOL,1.4306569,103.7772286
WOODLANDS SECONDARY SCHOOL,1.4400304,103.7744535
XINMIN SECONDARY SCHOOL,1.3720807,103.8828692
YIO CHU KANG SECONDARY SCHOOL,1.3783445,103.8420058
YISHUN SECONDARY SCHOOL,1.428129,103.828833
YISHUN TOWN SECONDARY SCHOOL,1.4326229,103.8379391
YUAN CHING SECONDARY SCHOOL,1.34168,103.7200992
YUHUA SECONDARY SCHOOL,1.347026,103.722405
YUSOF ISHAK SECONDARY SCHOOL,1.4071388,103.8964933
YUYING SECONDARY SCHOOL,1.356753,103.8900604
ZHENGHUA SECONDARY SCHOOL,1.388986,103.7652978
ZHONGHUA SECONDARY SCHOOL,1.3496094,103.8693356
ANGLICAN HIGH SCHOOL,1.3303585,103.9423495
ANGLO-CHINESE SCHOOL (BARKER ROAD),1.3187104,103.834291
BUKIT PANJANG GOVT. HIGH SCHOOL,1.3815132,103.7388106
CATHOLIC HIGH SCHOOL,1.3546049,103.8451234
CHIJ KATONG CONVENT,1.3065932,103.9173898
CHIJ ST. JOSEPH'S CONVENT,1.391747,103.902461
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.3740005,103.8341542
 CHIJ ST. THERESA'S CONVENT,1.2757944,103.8222117
CHONGFU SCHOOL,1.4387232,103.8393414
CHUNG CHENG HIGH SCHOOL (MAIN),1.3054121,103.8915495
CHUNG CHENG HIGH SCHOOL (YISHUN),1.4193805,103.8377455
CRESCENT GIRLS' SCHOOL,1.2940214,103.8168823
DUNMAN HIGH SCHOOL,1.2986982,103.882844
GAN ENG SENG SCHOOL,1.2900347,103.8235117
HAI SING CATHOLIC SCHOOL,1.3692102,103.9624183
HOLY INNOCENTS' HIGH SCHOOL,1.3711442,103.8960138
MARIS STELLA HIGH SCHOOL,1.3411414,103.8776654
NAN CHIAU HIGH SCHOOL,1.3892826,103.8902985
NAN HUA HIGH SCHOOL,1.3084132,103.7689985
NANYANG GIRLS' HIGH SCHOOL,1.3307195,103.8024603
PRESBYTERIAN HIGH SCHOOL,1.3821667,103.843
RIVER VALLEY HIGH SCHOOL,1.3438847,103.7095372
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1.3130381,103.7733177
SINGAPORE CHINESE GIRLS' SCHOOL,1.3212977,103.828876
SINGAPORE SPORTS SCHOOL,1.4265,103.7891347
ST. JOSEPH'S INSTITUTION,1.3234973,103.8279017
ST. PATRICK'S SCHOOL,1.3086925,103.9163287
TANJONG KATONG GIRLS' SCHOOL,1.3081616,103.896462
VICTORIA SCHOOL,1.3087386,103.9281936
