school_name,lat,long
NANYANG POLYTECHNIC,1.38,103.8489
NGEE ANN POLYTECHNIC,1.3331,103.7759
REPUBLIC POLYTECHNIC,1.4428,103.7856
SINGAPORE POLYTECHNIC,1.3098,103.7775
TEMASEK POLYTECHNIC,1.3453,103.9318
