region,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_mrt_distance,avg_cbd_distance
CENTRAL,321174.2452151678,276000.0,183810,83.71414504107503,610.7174680981511,5571.234430324801
EAST,320357.04710846394,305000.0,175616,101.73629965379008,784.4500182327602,12323.801713054812
NORTH,291289.10588635877,278000.0,143909,100.1922325914293,670.1168935690918,17396.6070759645
NORTH-EAST,332145.91519415996,322000.0,170684,94.74499074312764,894.1516382623543,10886.944952233796
WEST,295077.4770939733,278000.0,222627,98.68774227744164,778.1854871349842,14842.54864102964
