Year,Month,Latitude,Longitude,Postal Code,Region,Planning Area,Subzone,Block,Street Name,Flat Type,Flat Model,Storey Lower,Storey Upper,Floor Area Sqm,Lease Commence Date,Years Remaining,Closest Mrt,Closest Mrt Dist,Cbd Dist,Electoral Boundary,Ruling Party,Resale Price,Resale Price Adj 2024
2015,1,1.37386614,103.845935822,560729.0,NORTH-EAST REGION,ANG MO KIO,ANG MO KIO TOWN CENTRE,729,ANG MO KIO AVE 6,5 ROOM,IMPROVED,1,3,119,1980,64,Ang Mo Kio MRT Station,593.008835546,10065.231174817,ANG MO KIO,PAP,670000,787809
2015,1,1.369441594,103.846488239,563700.0,NORTH-EAST REGION,ANG MO KIO,ANG MO KIO TOWN CENTRE,700C,ANG MO KIO AVE 6,5 ROOM,IMPROVED,19,21,111,2003,87,Ang Mo Kio MRT Station,345.928994678,9573.256952548,ANG MO KIO,PAP,820000,964184
2015,1,1.371137208,103.84766232,560709.0,NORTH-EAST REGION,ANG MO KIO,ANG MO KIO TOWN CENTRE,709,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,1,3,68,1980,64,Ang Mo Kio MRT Station,249.490988676,9754.1652098,ANG MO KIO,PAP,290000,340992
2015,1,1.372032363,103.857625376,560556.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,556,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,68,1980,64,Ang Mo Kio MRT Station,927.320440426,9869.878083711,ANG MO KIO,PAP,312000,366860
2015,1,1.371236133,103.859192016,560558.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,558,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,67,1980,64,Ang Mo Kio MRT Station,1081.780660668,9796.151762392,ANG MO KIO,PAP,338000,397432
2015,1,1.373922392,103.855621371,560541.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,541,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,1,3,68,1981,65,Ang Mo Kio MRT Station,806.17649897,10065.227933842,ANG MO KIO,PAP,275000,323354
2015,1,1.371625702,103.857736108,560557.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,557,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,68,1980,64,Ang Mo Kio MRT Station,929.164159258,9825.917255448,ANG MO KIO,PAP,290000,340992
2015,1,1.370816268,103.859192334,560560.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,560,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,67,1980,64,Ang Mo Kio MRT Station,1076.614984799,9749.916280701,ANG MO KIO,PAP,320000,376267
2015,1,1.37071308,103.853497803,560584.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,584,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,7,9,82,1979,63,Ang Mo Kio MRT Station,446.849668562,9701.946201175,ANG MO KIO,PAP,410000,482092
2015,1,1.370181442,103.859018836,560562.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,562,ANG MO KIO AVE 3,4 ROOM,NEW GENERATION,10,12,92,1980,64,Ang Mo Kio MRT Station,1053.224907213,9678.275089775,ANG MO KIO,PAP,416888,490191
2015,1,1.369848376,103.859404132,560564.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,564,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,13,15,68,1985,69,Ang Mo Kio MRT Station,1095.784824578,9645.507144807,ANG MO KIO,PAP,307500,361569
