year,town,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_remaining_lease,avg_mrt_distance,avg_cbd_distance
1990,ANG MO KIO,59264.292383292384,47200.0,1628,79.39496314496314,88.28501228501229,633.166923939558,9740.990745974084
1990,BEDOK,70226.19967793881,57000.0,1242,86.62721417069243,88.51851851851852,808.6560184338211,10189.943944548595
1990,BISHAN,92737.7358490566,65500.0,106,89.04716981132076,91.35849056603773,413.7621591798345,7820.1687657925
1990,BUKIT BATOK,87756.43161094225,71400.0,658,98.64893617021276,93.65349544072949,590.1119201944244,13609.7678564765
1990,BUKIT MERAH,65934.88169014084,50000.0,710,73.2,84.97605633802817,695.4921394706922,3442.44985629378
1990,BUKIT TIMAH,76189.28571428571,46500.0,28,86.17857142857143,83.71428571428571,227.0003276538022,6242.4727359455255
1990,CENTRAL AREA,64527.6,60000.0,200,66.01,87.3,310.435969444781,1762.0244132378925
1990,CHOA CHU KANG,57219.09090909091,57000.0,88,82.19318181818181,89.81818181818181,795.871670844568,15218.96442759617
1990,CLEMENTI,73046.28776978418,54000.0,695,84.59280575539569,88.77985611510792,761.7412422366833,10127.463900803423
1990,GEYLANG,66990.1129032258,50000.0,620,77.41451612903226,86.25,443.29808387920866,6304.698679059246
1990,HOUGANG,81811.41538461538,63000.0,520,92.75192307692308,91.89615384615385,761.4266841270637,9805.454456145879
1990,JURONG EAST,74951.1313131313,57000.0,495,93.43838383838384,90.93939393939394,873.0447848283654,13974.627418368143
1990,JURONG WEST,60111.40858208955,44000.0,1072,85.00373134328358,88.34235074626865,866.5701803438692,16481.227980125197
1990,KALLANG/WHAMPOA,73598.65148861647,53800.0,571,80.1891418563923,85.92119089316988,505.80779553818553,4459.4663573402995
1990,LIM CHU KANG,32866.666666666664,32500.0,3,75.0,89.0,5471.18280593651,22405.555056502148
1990,MARINE PARADE,91166.45,79750.0,200,89.91,84.54,1896.3630864170887,7178.572295879367
1990,QUEENSTOWN,38597.33766233766,33000.0,770,63.36883116883117,81.69090909090909,497.3372377635224,6710.355520049919
1990,SEMBAWANG,21300.0,21300.0,2,64.0,84.0,833.9339431332859,17801.01533333687
1990,SENGKANG,40850.0,39000.0,18,75.27777777777777,89.0,,
1990,SERANGOON,101877.84358974358,91000.0,390,95.11025641025641,93.54871794871795,946.9196313356488,8687.960640402505
1990,TAMPINES,86057.55344418052,77350.0,842,98.66389548693587,93.35391923990498,609.3194333925144,13030.704169491435
1990,TOA PAYOH,53897.5033557047,40000.0,745,74.41610738255034,83.15838926174497,631.9219488785578,6049.446096964753
1990,WOODLANDS,45763.88157894737,38400.0,304,82.38486842105263,88.51973684210526,993.6644847564613,19420.81047843869
1990,YISHUN,66481.16722408027,60000.0,598,90.5066889632107,93.84782608695652,599.0880990780489,16548.327312993395
1991,ANG MO KIO,58368.39664804469,47000.0,1790,78.21843575418994,87.3195530726257,628.5123287736465,9777.652216166134
1991,BEDOK,73469.8669950739,57000.0,1218,86.54433497536945,87.98275862068965,783.8621412573274,10126.90243432224
1991,BISHAN,112779.95719844358,100000.0,257,93.91439688715953,92.19844357976653,571.1785187060518,7678.327640406683
1991,BUKIT BATOK,83732.84862932062,62500.0,839,94.41835518474375,93.05959475566151,585.9224408202825,13755.219872382751
1991,BUKIT MERAH,74446.49923896499,56000.0,657,76.37442922374429,84.4855403348554,707.9085960653816,3481.986563447679
1991,BUKIT PANJANG,97090.90909090909,81000.0,11,104.0,95.45454545454545,886.0633840474173,13866.528771357216
1991,BUKIT TIMAH,88065.0,71500.0,16,89.0625,82.375,229.02233352626826,6227.090130067574
1991,CENTRAL AREA,66524.41025641025,60000.0,195,66.45641025641025,86.66153846153846,288.10759980922717,1841.6812624931404
1991,CHOA CHU KANG,58852.857142857145,57000.0,70,83.47142857142858,88.71428571428571,817.7114747044503,15272.880235282535
1991,CLEMENTI,70065.98461538462,50000.0,650,81.66461538461539,87.51076923076923,756.244704726452,10154.402461942345
1991,GEYLANG,80889.44670846395,61400.0,638,83.61912225705329,86.51880877742947,452.41050395195674,6405.131474423907
1991,HOUGANG,84845.73062261753,70000.0,787,95.08005082592122,91.7420584498094,742.1239071073869,10048.623639933678
1991,JURONG EAST,82343.52705410821,65000.0,499,96.79959919839679,90.3687374749499,873.0490108346215,14019.569494325448
1991,JURONG WEST,74023.88235294117,57300.0,680,92.85441176470589,88.68382352941177,862.741980387565,16476.472287353754
1991,KALLANG/WHAMPOA,76542.25352112677,56500.0,568,80.64612676056338,85.59507042253522,490.748286284334,4415.668097081572
1991,LIM CHU KANG,32869.230769230766,32500.0,13,72.61538461538461,88.0,5471.18280593651,22405.555056502148
1991,MARINE PARADE,85606.41711229946,65000.0,187,85.5187165775401,83.33155080213903,1882.5328890138267,7227.21024808788
1991,PASIR RIS,103666.66666666667,100000.0,3,114.0,97.0,977.3854698680243,15120.330397741318
1991,QUEENSTOWN,44172.558139534885,39750.0,602,65.83554817275747,80.70265780730897,489.0200924011747,6687.720724759886
1991,SEMBAWANG,24600.0,24000.0,3,64.0,83.0,833.9339431332859,17801.01533333687
1991,SENGKANG,41941.666666666664,38700.0,12,69.66666666666667,88.0,,
1991,SERANGOON,95313.32387706856,85000.0,423,90.76359338061465,92.66430260047281,921.2585899150046,8653.981076720209
1991,TAMPINES,98906.17647058824,88000.0,782,104.16368286445012,92.73273657289002,634.8331659447039,13107.015171364386
1991,TOA PAYOH,57541.23493975904,40000.0,664,74.83433734939759,82.39909638554217,658.1048178925041,6047.321096034407
1991,WOODLANDS,50041.08843537415,42500.0,294,84.35374149659864,87.86734693877551,1012.6715681849939,19437.185778834977
1991,YISHUN,71194.09227683049,62000.0,997,91.70411233701104,93.36409227683049,588.6827595093042,16301.496722304666
1992,ANG MO KIO,65069.57768924303,50000.0,1255,78.76653386454183,86.36892430278884,621.7387714187539,9782.477068327637
1992,BEDOK,78838.28616352202,64000.0,1908,86.4916142557652,86.9496855345912,785.5126833073499,10099.9538022243
1992,BISHAN,151646.05898123325,138800.0,373,103.8632707774799,92.78016085790885,582.4342913485239,7410.4219509522645
1992,BUKIT BATOK,94477.63919821827,71450.0,898,96.27060133630289,92.12249443207126,573.8390605827884,13728.439334987555
1992,BUKIT MERAH,79939.11278195489,60000.0,665,76.18345864661654,83.34285714285714,708.3105075173012,3465.0190164642636
1992,BUKIT PANJANG,101058.94736842105,80000.0,95,98.86315789473684,94.73684210526316,955.444313537274,13799.854094624912
1992,BUKIT TIMAH,98275.0,72250.0,20,83.95,82.25,225.4650120693894,6443.843694558798
1992,CENTRAL AREA,74124.86187845304,70000.0,181,66.61878453038673,85.74585635359117,284.9006563530389,1909.3966225652935
1992,CHOA CHU KANG,71400.79365079365,63000.0,126,90.03968253968254,88.06349206349206,801.0026722721706,15242.645751304119
1992,CLEMENTI,81545.07462686567,60000.0,737,83.64179104477611,86.77476255088196,754.5055464975825,10143.431432594374
1992,GEYLANG,86599.84135977337,61000.0,706,81.92917847025495,84.78753541076487,451.5530966952778,6280.48053242412
1992,HOUGANG,105446.37037037036,88000.0,783,101.40996168582376,91.62707535121328,772.8537079170544,10126.839554495084
1992,JURONG EAST,88720.57249070633,70000.0,538,96.7081784386617,89.3085501858736,892.9786908216862,13996.02669412874
1992,JURONG WEST,75009.00912646676,57000.0,767,90.16949152542372,87.5006518904824,859.9470853671205,16468.64809065373
1992,KALLANG/WHAMPOA,87841.07255520504,61000.0,634,82.22555205047318,85.03627760252365,492.1507893906283,4427.8777497249275
1992,LIM CHU KANG,25983.333333333332,22500.0,6,63.0,87.0,5471.18280593651,22405.55505650215
1992,MARINE PARADE,92131.42857142857,70000.0,245,82.66530612244898,82.35918367346939,1902.1293136673319,7213.5664395859985
1992,PASIR RIS,167388.33333333334,156500.0,12,128.33333333333334,96.5,824.5387093820835,15094.513389934844
1992,QUEENSTOWN,48501.90697674418,40000.0,602,64.37707641196013,79.81063122923588,487.493943357694,6669.564633698595
1992,SEMBAWANG,31500.0,31500.0,2,64.0,82.0,833.9339431332859,17801.01533333687
1992,SENGKANG,48970.0,43250.0,10,75.0,87.0,,
1992,SERANGOON,115454.98092643052,91000.0,367,95.84741144414168,91.80381471389646,872.5279743318284,8609.990275652177
1992,TAMPINES,98337.24195804195,88000.0,1430,98.79230769230769,91.94195804195805,587.4961991473771,13067.533522252203
1992,TOA PAYOH,68570.02721088435,47000.0,735,76.45170068027211,81.60272108843537,604.296044245845,6057.5082996766205
1992,WOODLANDS,50078.95131086143,40000.0,267,81.10861423220973,87.21722846441948,947.2779679109166,19326.266910625334
1992,YISHUN,85028.51007887817,65000.0,1141,95.24978089395267,92.97283085013146,610.5801183417025,16035.65430739149
1993,ANG MO KIO,104482.91818845873,88000.0,1369,79.42804967129291,85.37253469685902,628.0559067805394,9772.082065821285
1993,BEDOK,115705.02351834431,88000.0,2126,85.67779868297272,86.34007525870179,763.1006366180072,10064.470096987247
1993,BISHAN,222452.23577235773,222400.0,492,107.1951219512195,92.04065040650407,606.3261169052341,7383.296977386155
1993,BUKIT BATOK,139429.91596638656,115000.0,952,96.94012605042016,91.27941176470588,598.3400059747895,13716.249987264524
1993,BUKIT MERAH,122149.14176245211,90000.0,783,78.79565772669221,82.64750957854406,714.5387499197896,3418.895574001118
1993,BUKIT PANJANG,160210.27607361964,140500.0,326,106.03374233128834,93.97239263803681,1060.6992044337512,13720.656592091565
1993,BUKIT TIMAH,197329.30666666667,185000.0,75,105.54666666666667,87.26666666666667,311.3555197126681,8450.027444685373
1993,CENTRAL AREA,102984.21052631579,90000.0,209,67.17224880382776,84.622009569378,300.23047064650433,1765.0085964376315
1993,CHOA CHU KANG,124891.22448979592,100000.0,98,95.14285714285714,89.12244897959184,830.4750459985288,15278.147756788157
1993,CLEMENTI,122725.90507152145,93000.0,769,84.41872561768531,85.64759427828349,723.8490067759976,10145.070470087712
1993,GEYLANG,121853.54292623942,90000.0,827,83.44014510278113,84.32527206771464,451.48056759113484,6404.892221725768
1993,HOUGANG,159065.53509781358,140000.0,869,102.23590333716916,90.80092059838896,765.9703799447103,10139.04385081924
1993,JURONG EAST,136852.21830985916,120000.0,568,98.90140845070422,88.3943661971831,870.2116235370972,14040.464922930905
1993,JURONG WEST,119721.32564841499,100000.0,1041,95.09606147934679,87.7704130643612,891.8055305993362,16778.60178610354
1993,KALLANG/WHAMPOA,129497.95454545454,95000.0,660,85.15,83.88181818181818,492.3374545487592,4425.371323223139
1993,LIM CHU KANG,56750.0,56750.0,2,83.0,86.0,5471.18280593651,22405.555056502148
1993,MARINE PARADE,155498.5340501792,120000.0,279,84.19713261648745,81.34767025089606,1885.2434824091931,7237.16671470706
1993,PASIR RIS,256172.5663716814,260000.0,113,132.53982300884957,94.69026548672566,1021.5528772918623,14989.751287426012
