Year,Month,Latitude,Longitude,Postal Code,Region,Planning Area,Subzone,Block,Street Name,Flat Type,Flat Model,Storey Lower,Storey Upper,Floor Area Sqm,Lease Commence Date,Years Remaining,Closest Mrt,Closest Mrt Dist,Cbd Dist,Electoral Boundary,Ruling Party,Resale Price,Resale Price Adj 2024,Closest Pri Sch Dist,Closest Pri Sch
2009,1,1.369410498,103.846059822,562700.0,NORTH-EAST REGION,ANG MO KIO,ANG MO KIO TOWN CENTRE,700B,ANG MO KIO AVE 6,5 ROOM,IMPROVED,10,12,111,2003,93,Ang Mo Kio MRT Station,393.576327747,9572.610257954,YIO CHU KANG,PAP,590000,807854,674.4280011561735,TECK GHEE PRIMARY SCHOOL
2009,1,1.371137208,103.84766232,560709.0,NORTH-EAST REGION,ANG MO KIO,ANG MO KIO TOWN CENTRE,709,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,4,6,82,1980,70,Ang Mo Kio MRT Station,249.490988676,9754.1652098,YIO CHU KANG,PAP,300000,410773,469.55060991875655,JING SHAN PRIMARY SCHOOL
2009,1,1.371787328,103.855854369,560577.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,577,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,67,1980,70,Ang Mo Kio MRT Station,730.087881534,9830.722394687,ANG MO KIO,PAP,233000,319034,464.74169861012996,JING SHAN PRIMARY SCHOOL
2009,1,1.373959619,103.856471369,560544.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,544,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,1,3,92,1981,71,Ang Mo Kio MRT Station,888.918509355,10074.300829877,ANG MO KIO,PAP,256000,350526,559.5235668752767,JING SHAN PRIMARY SCHOOL
2009,1,1.371236133,103.859192016,560558.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,558,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,67,1980,70,Ang Mo Kio MRT Station,1081.780660668,9796.151762392,ANG MO KIO,PAP,227000,310818,841.0276368686077,JING SHAN PRIMARY SCHOOL
2009,1,1.372032363,103.857625376,560556.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,556,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,68,1980,70,Ang Mo Kio MRT Station,927.320440426,9869.878083711,ANG MO KIO,PAP,240000,328619,658.7991602130968,JING SHAN PRIMARY SCHOOL
2009,1,1.373164786,103.857411831,560549.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,549,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,1,3,68,1981,71,Ang Mo Kio MRT Station,944.264012411,9993.134995699,ANG MO KIO,PAP,203000,277957,640.9749733489447,JING SHAN PRIMARY SCHOOL
2009,1,1.370816268,103.859192334,560560.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,560,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,1,3,67,1980,70,Ang Mo Kio MRT Station,1076.614984799,9749.916280701,ANG MO KIO,PAP,223000,305341,848.9604829313618,JING SHAN PRIMARY SCHOOL
2009,1,1.374473785,103.854100516,560536.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,536,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,68,1980,70,Ang Mo Kio MRT Station,712.50595966,10119.502842998,ANG MO KIO,PAP,252000,345049,356.3713057347862,JING SHAN PRIMARY SCHOOL
2009,1,1.370597561,103.852367041,560585.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,585,ANG MO KIO AVE 3,4 ROOM,NEW GENERATION,10,12,91,1979,69,Ang Mo Kio MRT Station,321.126595115,9686.816895011,ANG MO KIO,PAP,365000,499774,204.5415040512377,JING SHAN PRIMARY SCHOOL
