Year,Month,Latitude,Longitude,Postal Code,Region,Planning Area,Subzone,Block,Street Name,Flat Type,Flat Model,Storey Lower,Storey Upper,Floor Area Sqm,Lease Commence Date,Years Remaining,Closest Mrt,Closest Mrt Dist,Cbd Dist,Electoral Boundary,Ruling Party,Resale Price,Resale Price Adj 2024,Closest Pri Sch Dist,Closest Pri Sch
2010,1,1.37043723,103.847515505,560705.0,NORTH-EAST REGION,ANG MO KIO,ANG MO KIO TOWN CENTRE,705,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,4,6,68,1981,70,Ang Mo Kio MRT Station,234.056936646,9677.529781713,YIO CHU KANG,PAP,296000,394146,511.6810557106699,JING SHAN PRIMARY SCHOOL
2010,1,1.371625702,103.857736108,560557.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,557,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,68,1980,69,Ang Mo Kio MRT Station,929.164159258,9825.917255448,ANG MO KIO,PAP,263000,350204,674.7810239964701,JING SHAN PRIMARY SCHOOL
2010,1,1.370816268,103.859192334,560560.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,560,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,82,1980,69,Ang Mo Kio MRT Station,1076.614984799,9749.916280701,ANG MO KIO,PAP,315000,419446,848.9604829313618,JING SHAN PRIMARY SCHOOL
2010,1,1.371236133,103.859192016,560558.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,558,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,67,1980,69,Ang Mo Kio MRT Station,1081.780660668,9796.151762392,ANG MO KIO,PAP,239000,318247,841.0276368686077,JING SHAN PRIMARY SCHOOL
2010,1,1.373179219,103.856294541,560545.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,545,ANG MO KIO AVE 10,5 ROOM,IMPROVED,13,15,118,1981,70,Ang Mo Kio MRT Station,831.194632278,9987.035683599,ANG MO KIO,PAP,501000,667119,518.542429509488,JING SHAN PRIMARY SCHOOL
2010,1,1.37226364,103.85682875,560552.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,552,ANG MO KIO AVE 10,5 ROOM,IMPROVED,22,24,119,1980,69,Ang Mo Kio MRT Station,849.190142201,9889.474992561,ANG MO KIO,PAP,488000,649809,569.3847234687479,JING SHAN PRIMARY SCHOOL
2010,1,1.373607695,103.858204942,560550.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,550,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,13,15,93,1981,70,Ang Mo Kio MRT Station,1044.565363574,10048.361060922,ANG MO KIO,PAP,365000,486025,736.2604688287598,JING SHAN PRIMARY SCHOOL
2010,1,1.371402396,103.854845849,560576.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,576,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,82,1980,69,Ang Mo Kio MRT Station,610.486307016,9783.045630751,ANG MO KIO,PAP,331000,440752,363.3254490937007,JING SHAN PRIMARY SCHOOL
2010,1,1.375293768,103.855452426,560540.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,540,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,10,12,93,1981,70,Ang Mo Kio MRT Station,884.129374703,10215.829310363,ANG MO KIO,PAP,355000,472709,529.9774119544936,JING SHAN PRIMARY SCHOOL
2010,1,1.370998107,103.857856392,560559.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,559,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,82,1980,69,Ang Mo Kio MRT Station,930.981755196,9757.698783442,ANG MO KIO,PAP,340000,452736,699.3004486573835,JING SHAN PRIMARY SCHOOL
2010,1,1.375374291,103.854258752,560539.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,539,ANG MO KIO AVE 10,5 ROOM,IMPROVED,4,6,118,1980,69,Ang Mo Kio MRT Station,797.300397317,10219.58167384,ANG MO KIO,PAP,418000,556599,440.3126797702645,JING SHAN PRIMARY SCHOOL
2010,1,1.370577658,103.857854578,560561.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,561,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,68,1980,69,Ang Mo Kio MRT Station,926.04721338,9711.323311487,ANG MO KIO,PAP,254000,338220,710.3248584430931,JING SHAN PRIMARY SCHOOL
2010,1,1.372820008,103.857784026,560554.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,554,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,4,6,93,1981,70,Ang Mo Kio MRT Station,969.515766891,9958.015905415,ANG MO KIO,PAP,323000,430099,677.8559300065738,JING SHAN PRIMARY SCHOOL
2010,1,1.374473785,103.854100516,560536.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,536,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,68,1980,69,Ang Mo Kio MRT Station,712.50595966,10119.502842998,ANG MO KIO,PAP,280000,372841,356.3713057347862,JING SHAN PRIMARY SCHOOL
2010,1,1.370816268,103.859192334,560560.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,560,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,67,1980,69,Ang Mo Kio MRT Station,1076.614984799,9749.916280701,ANG MO KIO,PAP,267800,356596,848.9604829313618,JING SHAN PRIMARY SCHOOL
2010,1,1.369539344,103.858385596,560565.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,565,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,4,6,68,1980,69,Ang Mo Kio MRT Station,983.357504396,9601.512884165,ANG MO KIO,PAP,255000,339552,804.0004097425433,JING SHAN PRIMARY SCHOOL
2010,1,1.369872141,103.858003535,560563.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,563,ANG MO KIO AVE 3,4 ROOM,NEW GENERATION,1,3,92,1980,69,Ang Mo Kio MRT Station,939.899502668,9634.802510063,ANG MO KIO,PAP,327000,435425,750.8328601061592,JING SHAN PRIMARY SCHOOL
2010,1,1.369872141,103.858003535,560563.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,563,ANG MO KIO AVE 3,4 ROOM,NEW GENERATION,4,6,92,1980,69,Ang Mo Kio MRT Station,939.899502668,9634.802510063,ANG MO KIO,PAP,342000,455399,750.8328601061592,JING SHAN PRIMARY SCHOOL
2010,1,1.369743586,103.856023138,560570.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,570,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,7,9,82,1979,68,Ang Mo Kio MRT Station,719.785688186,9606.052839497,ANG MO KIO,PAP,330000,439420,558.2582733671652,JING SHAN PRIMARY SCHOOL
2010,1,1.375724748,103.849934306,560502.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,502,ANG MO KIO AVE 5,3 ROOM,NEW GENERATION,1,3,68,1981,70,Ang Mo Kio MRT Station,641.805699805,10254.153707034,ANG MO KIO,PAP,252000,335557,424.72974214818834,JING SHAN PRIMARY SCHOOL
2010,1,1.375984861,103.848860479,560501.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,501,ANG MO KIO AVE 5,5 ROOM,IMPROVED,4,6,121,1981,70,Ang Mo Kio MRT Station,673.68892177,10285.37305337,ANG MO KIO,PAP,438500,583896,514.2240099944785,JING SHAN PRIMARY SCHOOL
2010,1,1.374582553,103.853049125,560535.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,535,ANG MO KIO AVE 5,3 ROOM,NEW GENERATION,10,12,67,1980,69,Ang Mo Kio MRT Station,644.422205943,10128.599873481,ANG MO KIO,PAP,260000,346210,290.4563482616725,JING SHAN PRIMARY SCHOOL
2010,1,1.372736969,103.850194855,560513.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,513,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,7,9,67,1984,73,Ang Mo Kio MRT Station,318.06000666,9923.416114873,ANG MO KIO,PAP,260000,346210,174.9284207327902,JING SHAN PRIMARY SCHOOL
2010,1,1.374000865,103.850139806,560509.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,509,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,7,9,67,1980,69,Ang Mo Kio MRT Station,454.455074163,10063.237456497,ANG MO KIO,PAP,268000,356862,254.82221331072859,JING SHAN PRIMARY SCHOOL
2010,1,1.374825895,103.84895609,560504.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,504,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,1,3,68,1980,69,Ang Mo Kio MRT Station,545.180111792,10156.986842886,ANG MO KIO,PAP,261000,347541,412.9379879899421,JING SHAN PRIMARY SCHOOL
2010,1,1.37485973,103.850224901,560505.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,505,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,1,3,82,1980,69,Ang Mo Kio MRT Station,549.820218075,10158.082689088,ANG MO KIO,PAP,290000,386157,325.42202847927047,JING SHAN PRIMARY SCHOOL
2010,1,1.374431399,103.850157485,560507.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,507,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,1,3,67,1980,69,Ang Mo Kio MRT Station,501.879402182,10110.814909074,ANG MO KIO,PAP,245000,326236,290.0807196330682,JING SHAN PRIMARY SCHOOL
2010,1,1.372051233,103.850545848,562596.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,596B,ANG MO KIO ST 52,4 ROOM,MODEL A,1,3,93,2002,91,Ang Mo Kio MRT Station,258.75073321,9847.186347915,ANG MO KIO,PAP,460000,612525,133.3791514361466,JING SHAN PRIMARY SCHOOL
2010,1,1.371935719,103.85014326,563596.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,596C,ANG MO KIO ST 52,4 ROOM,MODEL A,16,18,90,2002,91,Ang Mo Kio MRT Station,230.84319565,9834.898337168,ANG MO KIO,PAP,500000,665788,179.92808733897257,JING SHAN PRIMARY SCHOOL
2010,1,1.362388292,103.857880565,560476.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,476,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,67,1979,68,Ang Mo Kio MRT Station,1246.509407553,8808.845812727,ANG MO KIO,PAP,258000,343547,485.9360260774136,TOWNSVILLE PRIMARY SCHOOL
2010,1,1.368793142,103.855527833,560451.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,451,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,68,1979,68,Ang Mo Kio MRT Station,676.2071587,9498.226681457,ANG MO KIO,PAP,246000,327568,576.9559428196435,JING SHAN PRIMARY SCHOOL
2010,1,1.365653269,103.855232195,560442.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,442,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,82,1979,68,Ang Mo Kio MRT Station,789.096225806,9149.845414865,ANG MO KIO,PAP,312000,415452,511.8914421145061,TECK GHEE PRIMARY SCHOOL
