Year,Month,Latitude,Longitude,Postal Code,Region,Planning Area,Subzone,Block,Street Name,Flat Type,Flat Model,Storey Lower,Storey Upper,Floor Area Sqm,Lease Commence Date,Years Remaining,Closest Mrt,Closest Mrt Dist,Cbd Dist,Electoral Boundary,Ruling Party,Resale Price,Resale Price Adj 2024,Closest Pri Sch Dist,Closest Pri Sch
2012,1,1.372655163,103.846063282,560727.0,NORTH-EAST REGION,ANG MO KIO,ANG MO KIO TOWN CENTRE,727,ANG MO KIO AVE 6,3 ROOM,NEW GENERATION,1,3,67,1980,67,Ang Mo Kio MRT Station,491.812082081,9930.723780817,ANG MO KIO,PAP,315000,381061,551.8763143634492,MAYFLOWER PRIMARY SCHOOL
2012,1,1.370816268,103.859192334,560560.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,560,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,4,6,92,1980,67,Ang Mo Kio MRT Station,1076.614984799,9749.916280701,ANG MO KIO,PAP,440000,532275,848.9604829313618,JING SHAN PRIMARY SCHOOL
2012,1,1.371625702,103.857736108,560557.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,557,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,82,1980,67,Ang Mo Kio MRT Station,929.164159258,9825.917255448,ANG MO KIO,PAP,380000,459692,674.7810239964701,JING SHAN PRIMARY SCHOOL
2012,1,1.374738413,103.855876768,560542.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,542,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,68,1981,68,Ang Mo Kio MRT Station,881.383790154,10156.743014206,ANG MO KIO,PAP,327000,395577,534.6804607456914,JING SHAN PRIMARY SCHOOL
2012,1,1.373607695,103.858204942,560550.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,550,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,82,1981,68,Ang Mo Kio MRT Station,1044.565363574,10048.361060922,ANG MO KIO,PAP,408800,494532,736.2604688287598,JING SHAN PRIMARY SCHOOL
2012,1,1.373607695,103.858204942,560550.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,550,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,68,1981,68,Ang Mo Kio MRT Station,1044.565363574,10048.361060922,ANG MO KIO,PAP,338000,408884,736.2604688287598,JING SHAN PRIMARY SCHOOL
2012,1,1.374473785,103.854100516,560536.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,536,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,68,1980,67,Ang Mo Kio MRT Station,712.50595966,10119.502842998,ANG MO KIO,PAP,333000,402836,356.3713057347862,JING SHAN PRIMARY SCHOOL
2012,1,1.374058463,103.85416817,560534.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,534,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,68,1980,67,Ang Mo Kio MRT Station,686.530667873,10073.836268147,ANG MO KIO,PAP,342000,413723,333.70104475226395,JING SHAN PRIMARY SCHOOL
2012,1,1.373922392,103.855621371,560541.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,541,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,1,3,68,1981,68,Ang Mo Kio MRT Station,806.17649897,10065.227933842,ANG MO KIO,PAP,330000,399206,469.4208847499796,JING SHAN PRIMARY SCHOOL
2012,1,1.371236133,103.859192016,560558.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,558,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,67,1980,67,Ang Mo Kio MRT Station,1081.780660668,9796.151762392,ANG MO KIO,PAP,344000,416142,841.0276368686077,JING SHAN PRIMARY SCHOOL
2012,1,1.371236133,103.859192016,560558.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,558,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,67,1980,67,Ang Mo Kio MRT Station,1081.780660668,9796.151762392,ANG MO KIO,PAP,336000,406465,841.0276368686077,JING SHAN PRIMARY SCHOOL
2012,1,1.370577658,103.857854578,560561.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,561,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,68,1980,67,Ang Mo Kio MRT Station,926.04721338,9711.323311487,ANG MO KIO,PAP,347000,419772,710.3248584430931,JING SHAN PRIMARY SCHOOL
2012,1,1.370055013,103.854880559,560571.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,571,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,4,6,67,1979,66,Ang Mo Kio MRT Station,592.480091569,9634.340999441,ANG MO KIO,PAP,320000,387109,432.8382728339411,JING SHAN PRIMARY SCHOOL
2012,1,1.369848376,103.859404132,560564.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,564,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,10,12,68,1985,72,Ang Mo Kio MRT Station,1095.784824578,9645.507144807,ANG MO KIO,PAP,349888,423265,898.7330681758857,JING SHAN PRIMARY SCHOOL
2012,1,1.369539344,103.858385596,560565.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,565,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,13,15,82,1980,67,Ang Mo Kio MRT Station,983.357504396,9601.512884165,ANG MO KIO,PAP,405000,489935,804.0004097425433,JING SHAN PRIMARY SCHOOL
2012,1,1.375724748,103.849934306,560502.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,502,ANG MO KIO AVE 5,4 ROOM,NEW GENERATION,1,3,93,1981,68,Ang Mo Kio MRT Station,641.805699805,10254.153707034,ANG MO KIO,PAP,408000,493564,424.72974214818834,JING SHAN PRIMARY SCHOOL
2012,1,1.373790082,103.849028999,560508.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,508,ANG MO KIO AVE 8,2 ROOM,IMPROVED,4,6,44,1980,67,Ang Mo Kio MRT Station,430.558346052,10042.28267971,ANG MO KIO,PAP,260000,314526,339.7170889483798,JING SHAN PRIMARY SCHOOL
2012,1,1.374825895,103.84895609,560504.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,504,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,7,9,68,1980,67,Ang Mo Kio MRT Station,545.180111792,10156.986842886,ANG MO KIO,PAP,380000,459692,412.9379879899421,JING SHAN PRIMARY SCHOOL
2012,1,1.374000865,103.850139806,560509.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,509,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,1,3,81,1980,67,Ang Mo Kio MRT Station,454.455074163,10063.237456497,ANG MO KIO,PAP,358000,433078,254.82221331072859,JING SHAN PRIMARY SCHOOL
2012,1,1.374400419,103.848936174,560506.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,506,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,7,9,68,1980,67,Ang Mo Kio MRT Station,498.826011885,10110.012961258,ANG MO KIO,PAP,334000,404045,384.8222460923772,JING SHAN PRIMARY SCHOOL
2012,1,1.374400419,103.848936174,560506.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,506,ANG MO KIO AVE 8,3 ROOM,NEW GENERATION,7,9,68,1980,67,Ang Mo Kio MRT Station,498.826011885,10110.012961258,ANG MO KIO,PAP,342000,413723,384.8222460923772,JING SHAN PRIMARY SCHOOL
2012,1,1.366339477,103.85912232,560460.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,460,ANG MO KIO AVE 10,5 ROOM,IMPROVED,10,12,120,1980,67,Ang Mo Kio MRT Station,1136.128841757,9256.279758669,ANG MO KIO,PAP,581000,702845,880.5553391878386,TOWNSVILLE PRIMARY SCHOOL
2012,1,1.362004539,103.85387991,560406.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,406,ANG MO KIO AVE 10,2 ROOM,IMPROVED,1,3,44,1979,66,Ang Mo Kio MRT Station,999.941594762,8740.633473386,ANG MO KIO,PAP,257800,311865,202.97373763071138,TOWNSVILLE PRIMARY SCHOOL
2012,1,1.366427898,103.854311491,560440.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,440,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,67,1979,66,Ang Mo Kio MRT Station,655.773912775,9231.114993064,ANG MO KIO,PAP,345000,417352,423.81886449796355,TECK GHEE PRIMARY SCHOOL
2012,1,1.364946014,103.85404338,560418.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,418,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,89,1979,66,Ang Mo Kio MRT Station,743.789124171,9066.311890852,ANG MO KIO,PAP,420000,508081,382.4422157274184,TECK GHEE PRIMARY SCHOOL
2012,1,1.362757847,103.858015324,560474.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,474,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,67,1984,71,Ang Mo Kio MRT Station,1230.96739937,8850.822251133,ANG MO KIO,PAP,335000,405255,520.1598977453281,TOWNSVILLE PRIMARY SCHOOL
2012,1,1.362388292,103.857880565,560476.0,NORTH-EAST REGION,ANG MO KIO,CHONG BOON,476,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,10,12,91,1979,66,Ang Mo Kio MRT Station,1246.509407553,8808.845812727,ANG MO KIO,PAP,450000,544372,485.9360260774136,TOWNSVILLE PRIMARY SCHOOL
