Year,Month,Latitude,Longitude,Postal Code,Region,Planning Area,Subzone,Block,Street Name,Flat Type,Flat Model,Storey Lower,Storey Upper,Floor Area Sqm,Lease Commence Date,Years Remaining,Closest Mrt,Closest Mrt Dist,Cbd Dist,Electoral Boundary,Ruling Party,Resale Price,Resale Price Adj 2024,Closest Pri Sch Dist,Closest Pri Sch
2013,1,1.371236133,103.859192,560558.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,558,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,67,1980,66,Ang Mo Kio MRT Station,1081.780660668,9796.151762392,ANG MO KIO,PAP,363000,428987,841.0258746451198,JING SHAN PRIMARY SCHOOL
2013,1,1.371236133,103.859192,560558.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,558,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,1,3,67,1980,66,Ang Mo Kio MRT Station,1081.780660668,9796.151762392,ANG MO KIO,PAP,350000,413624,841.0258746451198,JING SHAN PRIMARY SCHOOL
2013,1,1.37392862,103.8586657,560551.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,551,ANG MO KIO AVE 10,5 ROOM,IMPROVED,10,12,118,1981,67,Ang Mo Kio MRT Station,1105.6825348,10087.78114752,ANG MO KIO,PAP,630000,744522,793.8005397088556,JING SHAN PRIMARY SCHOOL
2013,1,1.373607695,103.8582049,560550.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,550,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,13,15,68,1981,67,Ang Mo Kio MRT Station,1044.565363574,10048.361060922,ANG MO KIO,PAP,378000,446713,736.2558821278643,JING SHAN PRIMARY SCHOOL
2013,1,1.370816268,103.8591923,560560.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,560,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,67,1980,66,Ang Mo Kio MRT Station,1076.614984799,9749.916280701,ANG MO KIO,PAP,370000,437259,848.9567730410693,JING SHAN PRIMARY SCHOOL
2013,1,1.370577658,103.8578546,560561.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,561,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,7,9,82,1980,66,Ang Mo Kio MRT Station,926.04721338,9711.323311487,ANG MO KIO,PAP,415000,490439,710.3272143329576,JING SHAN PRIMARY SCHOOL
2013,1,1.371625702,103.8577361,560557.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,557,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,68,1980,66,Ang Mo Kio MRT Station,929.164159258,9825.917255448,ANG MO KIO,PAP,375000,443168,674.7801395790297,JING SHAN PRIMARY SCHOOL
2013,1,1.370055013,103.8548806,560571.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,571,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,10,12,67,1979,65,Ang Mo Kio MRT Station,592.4800916,9634.340999441,ANG MO KIO,PAP,388000,458531,432.8419890990458,JING SHAN PRIMARY SCHOOL
2013,1,1.370258361,103.855969,560572.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,572,ANG MO KIO AVE 3,4 ROOM,NEW GENERATION,7,9,92,1979,65,Ang Mo Kio MRT Station,714.368486511,9662.563645,ANG MO KIO,PAP,480888,568305,525.9640571596337,JING SHAN PRIMARY SCHOOL
2013,1,1.369848376,103.8594041,560564.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,564,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,7,9,68,1985,71,Ang Mo Kio MRT Station,1095.784824578,9645.507145,ANG MO KIO,PAP,360000,425441,898.7296764874828,JING SHAN PRIMARY SCHOOL
2013,1,1.369848376,103.8594041,560564.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,564,ANG MO KIO AVE 3,3 ROOM,NEW GENERATION,4,6,82,1985,71,Ang Mo Kio MRT Station,1095.784824578,9645.507145,ANG MO KIO,PAP,402000,475076,898.7296764874828,JING SHAN PRIMARY SCHOOL
2013,1,1.375593367,103.8533478,560538.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,538,ANG MO KIO AVE 5,3 ROOM,NEW GENERATION,1,3,68,1980,66,Ang Mo Kio MRT Station,754.742606156,10241.03592,ANG MO KIO,PAP,343000,405351,404.50142120708387,JING SHAN PRIMARY SCHOOL
