Year,Planning Area,divorced,married,single,widowed
2020,Jurong East,10441824,2004819526,1162610905,7723261
2020,Jurong West,33054777,6922966777,3773633241,21878519
2020,Kallang,21342737,2452823776,1505713837,10315233
2020,Lim Chu Kang,,,,
2020,Mandai,,,,
2020,Marina East,,,,
2020,Marina South,,,,
2020,Marine Parade,6981161,1116111205,51936501,3562172
2020,Museum,,,,
2020,Newton,,,,
2020,North-Eastern Islands,,,,
2020,Novena,6761109,1182711909,60586172,3992045
2020,Orchard,,,,
2020,Outram,624556,41113852,28472231,2501165
2020,Pasir Ris,14402708,3853138589,2264521691,7373893
2020,Paya Lebar,,,,
2020,Pioneer,,,,
2020,Punggol,18324295,4753347858,1456614422,8344007
2020,Queenstown,14662895,2233622051,1175913510,9895295
2020,River Valley,145228,26812686,10411333,39266
2020,Rochor,,,,
2020,Seletar,,,,
2020,Sembawang,13152419,2796927833,1279512324,5082788
2020,Sengkang,25565508,6788667513,2773327571,12675964
2020,Serangoon,9822395,2996129929,1709517510,8364571
2020,Simpang,,,,
2020,Singapore River,,,,
2020,Southern Islands,,,,
2020,Straits View,,,,
2020,Sungei Kadut,,,,
2020,Tampines,30675455,6710166038,3798435236,193310169
2020,Tanglin,222453,54645697,19242406,130441
2020,Tengah,,,,
2020,Toa Payoh,22323614,2803828613,1619618510,12976289
2020,Tuas,,,,
2020,Western Islands,,,,
2020,Western Water Catchment,,,,
2020,Woodlands,33935318,6297862066,3857033500,18317289
2020,Yishun,37436289,5629655173,2954227667,16618080
