Year,Planning Area,age_0_4,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_5_9,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total
2020,Sembawang,31903120,32503150,32703130,30602960,36204080,44904640,41504410,40704550,43304620,37403560,34803250,29902830,28402700,19201870,11201240,550770,380520,250520,5071051930
2020,Sengkang,83708010,80807840,70106620,67506430,68207500,963011860,1191013190,1098011610,1026010130,82607670,75207440,91308470,66906950,49505120,32303590,15201870,8901270,4801300,1.22E+11
2020,Serangoon,18401720,26602520,31902970,39403580,46704650,39804040,32503670,33503900,37904430,39004490,43805030,23202060,48005290,41404270,29703250,14301800,10201450,7501430,5637060530
2020,Simpang,,,,,,,,,,,,,,,,,,,
2020,Singapore River,90120,90100,5070,5060,5070,70120,150210,200210,200190,140130,11090,120140,7070,5050,5050,3020,2020,2010,15401730
2020,Southern Islands,6050,4070,3070,3060,4050,3060,50100,8090,110120,110100,12080,6080,8050,4030,2020,1010,10,0,9201020
2020,Straits View,,,,,,,,,,,,,,,,,,,
2020,Sungei Kadut,1010,2020,1020,2030,2030,2020,2030,2020,4020,3030,2030,2020,3030,3020,2020,1010,2020,1020,380370
2020,Tampines,59405790,62205770,67606530,90308570,1108010770,100009990,86209510,81708710,80309030,870010030,1026011310,59705510,1035011010,82308120,51605380,21502660,13902110,9402120,1.27E+11
2020,Tanglin,530540,640730,510600,440560,440570,470730,660970,8901110,10501150,870880,740690,740850,600640,530570,450480,250260,160190,140200,1010011700
2020,Tengah,,,,,,,,,,,,,,,,,,,
2020,Toa Payoh,21902170,27502550,27902690,30803100,39404230,40304320,36604350,40104570,45304960,42504540,44004750,26702390,45404780,37404070,29803780,18302540,14402210,10701970,5789063960
2020,Tuas,,,,,,,,,,,,,,,,,,,
2020,Western Islands,,,,,,,,,,,,,,,,,,,
2020,Western Water Catchment,1020,1010,1010,20110,2020,1020,3030,4030,2020,2020,3020,3020,3020,100,0,0,0,0,290350
2020,Woodlands,58705630,74207040,89008210,1111010320,1063010100,89609210,85209210,86309280,966010660,1068010870,105809620,64806070,82907610,55905240,33803610,16001920,10201390,6801170,1.28E+11
2020,Yishun,60905580,56405310,58805370,66606360,82208490,91109670,87709160,79508280,77908020,75207830,87309020,58705610,77408070,60506070,38304150,17902170,11101570,7401410,1.09E+11
