Year,Planning Area,age_0_4,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_5_9,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total
2000,Tanglin,340330,420440,350430,330490,430530,430600,570690,580720,590710,600620,360350,460480,250300,210260,170210,100130,6090,5060,63107420
2000,Tengah,,,,,,,,,,,,,,,,,,,
2000,Toa Payoh,31102980,35403280,35203310,39103910,51205090,48504770,51305360,55905680,47504860,41004650,30203520,39003620,30303360,23402560,17301980,9601310,520850,370670,5949061750
2000,Tuas,,,,,,,,,,,,,,,,,,,
2000,Western Islands,,,,,,,,,,,,,,,,,,,
2000,Western Water Catchment,2010,2020,1010,20,20,1010,4030,3020,2010,2020,1010,1020,100,0,0,0,0,0,200210
2000,Woodlands,1082010250,74406740,62205620,51305180,755010160,1170011820,112609920,90107900,62605560,41703920,22802380,81107490,19502040,15001710,11101210,560680,290350,170270,9551093170
2000,Yishun,60805730,78907460,67006220,59605890,71107110,76307920,95309620,90308780,71406770,49604740,27302780,85508200,21602160,15701780,10301260,570780,280480,230420,8913088070
2010,Ang Mo Kio,40803890,47304610,52205240,52305430,64406960,70107490,71607350,67206810,75107350,71207490,64807300,42504170,56506220,35403920,28103190,17802290,9101460,4901030,8711092180
2010,Bedok,67206510,90008490,101809900,1007010090,1047010790,1056011150,1097011780,1089011130,1219012430,1220012430,1073011160,75907430,88709150,50105220,38904590,26103510,15302440,9301920,1.44E+11
2010,Bishan,20301910,29902700,38003380,31703170,28903040,28503160,34603890,33503750,37104330,40004250,33703350,25502210,25302610,14101560,11301290,710950,370660,220540,4453046770
2010,Boon Lay,,,,,,,,,,,,,,,,,,,
2010,Bukit Batok,36103580,49904750,52205210,52905340,54705860,52805660,57506080,61306130,64906560,62506180,51104800,43004220,32903200,16301690,12101330,7601070,400670,210510,7136072840
2010,Bukit Merah,41103940,34803420,37403740,39803960,51305740,66307250,67906700,60005790,60005650,62005860,54905860,35403360,50605730,33603950,31503560,21202610,11901750,8101500,7675080370
2010,Bukit Panjang,36003510,47404590,52704950,49204820,44704630,45004990,54405730,52205250,57005830,56105170,40903820,42704070,27802540,13701540,10401160,650900,340600,210440,6423064510
2010,Bukit Timah,15301590,22402440,24402800,20702550,18102000,18402260,25603130,28103260,28803280,27303000,23802460,21002360,21002080,12301280,9701070,660790,390500,260490,3298037340
2010,Central Water Catchment,,,,,,,,,,,,,,,,,,,
2010,Changi,9080,9070,7070,5050,5060,90100,120130,13090,10080,7050,5040,10090,4030,3030,2020,1020,2010,1030,11301030
2010,Changi Bay,,,,,,,,,,,,,,,,,,,
2010,Choa Chu Kang,47604470,78807320,79007470,60005640,57906110,59406600,67807700,80908590,88308090,70906210,48104300,59905840,30002860,15301660,11401360,7501070,420690,230440,8689086410
2010,Clementi,21402100,23902320,24002330,25102630,34403650,38303980,38304000,35203690,37203620,32203660,31103950,23002270,31403510,18101880,14701540,8701050,490680,290560,4447047410
2010,Downtown Core,8070,8060,6080,7090,150140,140180,170150,180170,160130,160130,120150,6070,130130,8090,70100,5060,3050,6030,18601870
2010,Geylang,28302560,34103200,39103800,38903830,42904520,45104900,47404660,45904580,51704850,52804870,44004270,28002850,35403640,22002360,18502180,13201670,7501190,450840,5993060760
2010,Hougang,46604570,73007040,86208170,80607830,74807920,71707590,79208470,82508760,99109940,98909680,79407490,58405520,56705640,31603370,24002790,16102170,8101410,5201160,1.07E+11
2010,Jurong East,20702010,26602540,30802850,31903160,36803700,34703530,35703570,34203270,35803470,35803690,34403360,24402280,25902540,14001300,9401060,620750,310480,200350,4422043900
2010,Jurong West,81807860,92808900,97909290,91208970,1101011680,1249012450,1244011850,1173010790,1143010090,101209580,85108120,88608330,60105530,28802890,20102130,11701540,600910,330670,1.36E+11
2010,Kallang,22002240,24802330,25402470,27002680,32603550,37904100,43704390,40703830,42003790,42303730,37503520,23802220,32703190,21202130,19802050,13301510,7701000,520850,4998049580
2010,Lim Chu Kang,,,,,,,,,,,,,,,,,,,
2010,Mandai,6050,8080,6080,5060,6050,7070,80110,80100,9090,6070,6050,5070,4040,2030,1020,1010,1010,10,890980
2010,Marina East,,,,,,,,,,,,,,,,,,,
2010,Marina South,,,,,,,,,,,,,,,,,,,
2010,Marine Parade,10701100,13201430,13701470,12001310,12401390,15001840,19602340,19502040,18502050,17701820,14401630,13301330,13601590,9101040,8201040,580740,310550,220400,2220025110
2010,Museum,2010,1010,1010,0,1020,3020,2030,2020,2010,1010,1010,10,1010,0,0,100,0,0,170180
2010,Newton,140170,160200,130210,110210,110210,170250,260340,290340,300290,220260,230220,210160,210200,120100,8090,6080,4030,3040,28703380
2010,North-Eastern Islands,,,,,,,,,,,,,,,,,,,
2010,Novena,11401150,13101310,13001340,11801310,13401590,16801960,20302200,19801990,19602000,18101810,14901590,13401150,12401380,860900,690880,530670,310490,220540,2240024240
2010,Orchard,2020,1020,1020,2030,2020,2040,4050,4040,5030,5040,4040,1020,3030,2010,1010,10,10,10,390430
2010,Outram,500470,370290,360360,420450,670730,870920,830720,690670,820650,850700,820720,320320,810730,580490,520530,380380,200280,150310,101409720
2010,Pasir Ris,33603230,63905970,70106630,44704210,37003840,39604550,47705340,58707380,75206880,56105010,38003330,46104250,23002240,10801310,8601100,650930,340610,210570,6649067370
2010,Paya Lebar,,,,,,,,,,,,,,,,,,,
2010,Pioneer,,,,,,,,,,,,,,,,,,,
2010,Punggol,33603130,16101500,13601320,12701260,16602310,35504460,44103910,24602230,20301860,15901640,12301330,25602480,9701040,480590,350410,230320,90200,60140,2927030120
2010,Queenstown,23302270,23702400,25002440,23502690,32603550,38304480,43004340,39504130,39703930,34803670,30403470,22802140,27703530,19102580,19302460,13901740,7701120,410760,4682051690
2010,River Valley,140220,200240,190270,170250,210330,300410,380460,420440,370370,320330,270270,190230,230220,130150,100120,6060,4060,3060,37304480
2010,Rochor,320320,350310,330390,410440,540620,750710,730660,630550,630530,670570,550590,290320,490550,380380,310360,250210,180140,110120,79107750
2010,Seletar,1010,1010,1010,1010,0,1010,1030,3030,2020,2020,1010,1010,1010,10,100,0,0,0,150180
2010,Sembawang,28502820,25602340,22702140,22802170,26403070,35404060,39804160,32402920,29002730,24902420,18201690,29002710,11401140,600750,430590,310410,180220,100210,3620036530
2010,Sengkang,70006670,58605380,49204830,46904550,55007060,84509710,95409280,72406540,64506210,59005780,43104200,63205930,28603020,14601610,10701330,6001050,350670,220530,8271084350
2010,Serangoon,24502420,41903690,48604740,46604520,44204470,39304160,41904720,42804890,50205680,55105870,48504930,32003050,37403770,19002130,15601860,10301340,540950,370890,6071064070
2010,Simpang,,,,,,,,,,,,,,,,,,,
2010,Singapore River,6060,4060,3060,3040,6090,110130,140150,130120,11080,7070,5050,5060,4030,4010,2020,1010,1010,1010,9701030
2010,Southern Islands,2030,1020,2030,1020,1010,1020,3030,5050,6030,4020,3020,1030,1010,1010,0,0,0,0,320330
2010,Straits View,,,,,,,,,,,,,,,,,,,
2010,Sungei Kadut,2020,1020,2020,3020,2030,2030,4030,3030,3030,3030,2030,2020,4030,2020,3030,2020,1030,2040,430440
2010,Tampines,62606010,97109030,1133010720,104209930,956010050,91109550,914010070,987011060,1150012320,1146011970,93408800,73807110,62205890,28403110,21402650,13602080,7801410,4601150,1.29E+11
2010,Tanglin,410460,480570,470570,350480,390530,500740,730900,820910,820810,690680,550620,520580,520500,290300,190220,130170,100140,90100,80309260
2010,Tengah,,,,,,,,,,,,,,,,,,,
2010,Toa Payoh,27002470,32903150,37003630,34203440,40404380,44104810,48105250,47004950,49805150,51705240,42904470,28902830,36504340,24903090,23502910,15702090,8801340,5901210,5992064730
2010,Tuas,,,,,,,,,,,,,,,,,,,
2010,Western Islands,,,,,,,,,,,,,,,,,,,
2010,Western Water Catchment,2030,3020,2020,50130,3040,4050,5050,4040,5040,5030,3020,4040,1010,1010,100,10,10,30,480560
2010,Woodlands,74307120,1114010410,103409670,85308220,87709250,921010050,1057011630,1174011600,1153010230,91408270,63705690,90708510,40904010,21502290,16701850,10701340,570780,300550,1.24E+11
2010,Yishun,45504430,60605800,71907060,75007270,71707340,68607230,72007330,73707490,86108680,79408010,63806180,52804870,43504300,22702410,16701830,9701360,510810,280640,9216093050
2015,Ang Mo Kio,34803310,42004090,47304590,51305180,53805800,58006450,61806890,66107100,63406660,70007010,66807120,38803780,60406940,52405810,30703600,23402800,13401910,7701520,8422090550
2015,Bedok,59305760,74607290,87808150,98309630,98809990,920010080,975011100,1086011660,1060010860,1156011870,1150011880,67506650,1001010570,81808570,44304880,32704060,19202840,13102700,1.41E+11
2015,Bishan,18001630,24902220,29202610,35903280,32103250,26903030,28103190,33203750,32203590,34704070,37503960,22902040,31303230,23402520,12701460,9601180,530840,320770,4411046590
2015,Boon Lay,,,,,,,,,,,,,,,,,,,
2015,Bukit Batok,28202680,40103950,46904550,50505020,52205240,46405120,47105230,53005680,55905720,60006180,59205850,34503440,47704610,30102980,14701600,10601170,580870,370720,6865070610
2015,Bukit Merah,36803530,34203220,34303440,38303870,45304810,52105860,60806760,62606470,57905540,57905530,59605780,37603720,52305700,45905440,29103580,24803110,14702070,10401980,7545080390
2015,Bukit Panjang,37803550,43404120,48004620,53505050,53705600,52805410,48205190,54105770,52405310,57405880,55305150,38503770,40203860,26302560,12801460,8901120,520780,320680,6916069870
2015,Bukit Timah,15201610,22502560,22702550,23202660,19702340,16802090,21702770,30503580,30503290,27703060,25502780,20202640,22102340,19302010,11401240,8501030,560660,370630,3466039810
2015,Central Water Catchment,,,,,,,,,,,,,,,,,,,
2015,Changi,10090,110100,8070,7070,5060,70100,120130,150140,130100,8060,6050,120110,6040,5040,3030,1010,1020,1020,13001230
2015,Changi Bay,,,,,,,,,,,,,,,,,,,
2015,Choa Chu Kang,36303530,57005680,76707150,78107420,60805860,55306010,56706290,64307280,76808300,83607830,68306070,48404500,46604180,28302810,14001600,9801240,550880,340700,8699087340
2015,Clementi,19701940,22602220,23702330,24202430,27903030,31803450,34303880,36503940,33903560,34903480,30303520,22602160,28903740,29003300,16101740,12101380,610870,410780,4387047760
2015,Downtown Core,5070,4060,6060,6080,100110,160160,170190,190170,180150,160120,160130,6050,110140,120120,7080,6080,2050,8050,18601860
2015,Geylang,23002190,27202700,32203110,38303710,40904040,39404230,41804540,44604540,44404350,49904620,50004620,28102540,41003980,31403330,18402050,14501840,9201330,6701180,5809058870
2015,Hougang,42804110,59805700,74006990,85908240,83608290,72407770,69807860,81208590,81808830,97909830,97209550,49905020,76707390,54205410,28103150,21002570,12001850,7201620,1.10E+11
2015,Jurong East,16701620,23502200,25602410,29902770,33003270,31103260,29003180,32003330,31703080,33603360,34503570,19701910,32303190,23902380,11901170,760930,440600,260500,4227042710
2015,Jurong West,68606740,86208080,91908830,97509320,983010100,1067011870,1166011750,1180011270,1118010500,109409730,97609350,81207780,80507820,56105210,25402710,16801870,8301250,480940,1.38E+11
2015,Kallang,22202120,23202160,24202330,25502580,29803150,33703880,39804280,42904320,40403740,41303690,41603680,22502200,36103450,30303070,18802030,15901810,9201210,6901120,5041050800
2015,Lim Chu Kang,,,,,,,,,,,,,,,,,,,
2015,Mandai,5040,7080,8090,6090,7070,7070,70100,90100,80100,8080,7070,5070,5040,4040,3030,2020,1010,1010,10001120
2015,Marina East,,,,,,,,,,,,,,,,,,,
2015,Marina South,,,,,,,,,,,,,,,,,,,
2015,Marine Parade,11301050,13401350,12601340,13001390,12401370,12701610,17302140,21502430,19101920,17701910,16801690,13301380,13501550,12501510,800990,730930,430600,320620,2297025770
2015,Museum,1010,10,1010,10,10,2020,3030,3020,1020,3020,1010,1010,1010,100,0,0,100,100,190190
2015,Newton,150160,170160,150180,120220,120220,150250,230340,340400,330330,300310,230240,260210,230200,190180,9090,7090,6060,5060,32403680
2015,North-Eastern Islands,,,,,,,,,,,,,,,,,,,
2015,Novena,11501120,13201190,12701270,12401330,12301410,13501680,17802200,22002310,19501960,18701850,16801680,15301240,13801490,11601300,740840,590790,400580,320610,2316024830
2015,Orchard,1020,2020,1020,1020,3030,3040,3050,4050,4040,4030,4040,3030,4030,3040,2010,1010,0,1010,430500
2015,Outram,600690,350350,400350,400430,560610,780890,10401100,930800,770710,910680,910740,530550,840750,760710,470460,400450,240300,210410,1110010980
2015,Pasir Ris,29602800,46404380,63206000,69006510,46104480,38704110,41604920,49405420,57707190,72506830,54505020,36603440,37203330,22102250,10401300,7901100,510840,330810,6915070740
2015,Paya Lebar,,,,,,,,,,,,,,,,,,,
2015,Pioneer,,,,,,,,,,,,,,,,,,,
2015,Punggol,61405860,31703030,23302120,19402000,26904060,71308560,68806520,56304980,34503050,28902650,22802450,47404460,18302130,14201600,700860,460580,270390,140380,5410055650
2015,Queenstown,23102140,22002170,23802370,25502740,28403310,33603760,35204130,39804070,36303970,37803730,32003530,22802230,28503300,25703330,16302310,15502150,9801440,6401140,4623051820
2015,River Valley,190230,240280,180230,190280,220290,250390,380490,500550,450420,350330,310310,230300,260250,230240,120140,80100,5050,5080,42604930
2015,Rochor,270280,270310,320290,310390,450440,520530,660620,680580,560500,630480,610520,280290,510550,420490,300320,230280,180170,240160,74107180
2015,Seletar,100,1010,1010,10,0,0,1010,2020,2020,2020,1010,1010,1010,0,0,0,0,0,140140
2015,Sembawang,22702190,27802590,25002320,23002200,25202600,29303440,34003810,37203940,31502960,29302740,24702420,27602640,17601680,10701140,560720,400530,240380,160330,3791038620
2015,Sengkang,78807460,65006130,61005730,54505420,64607870,971011430,1027010820,97909450,76807030,68906740,62906350,77007480,46104660,30903350,15701790,10201390,490970,330830,1.02E+11
2015,Serangoon,20901980,32103000,40803650,46604500,45604490,36203900,34903970,39804560,40804690,46905350,51805610,26002480,45404620,33303520,16901990,13001680,7901140,5101150,5838062290
2015,Simpang,,,,,,,,,,,,,,,,,,,
2015,Singapore River,80120,5070,4050,4050,3060,110170,180180,200210,140120,11080,7070,8090,5050,5040,3020,2020,1010,2010,13101410
2015,Southern Islands,5040,4050,2060,4050,3040,2040,6060,7090,100100,11070,7040,3050,4030,2020,1010,1010,0,0,720760
2015,Straits View,,,,,,,,,,,,,,,,,,,
2015,Sungei Kadut,2010,2020,2030,2020,3020,3020,2020,4020,4030,2030,4030,2010,3020,3030,2020,2020,1020,1040,430420
2015,Tampines,58505360,70206800,94008790,1097010410,1030010120,90909730,87309270,87309580,926010580,1090011910,1096011530,63205940,88608500,57505720,25302970,18302480,10501780,6601580,1.28E+11
2015,Tanglin,450480,510600,430580,440530,380500,450690,670910,9201070,880920,770760,610660,580720,550590,460470,270270,170210,120140,110160,877010230
2015,Tengah,,,,,,,,,,,,,,,,,,,
2015,Toa Payoh,26102430,29602790,32803190,36903640,36403980,38904550,42604780,48505280,46004830,48004930,49204990,29402720,40004290,33404070,22102830,19102600,11201680,8201540,5984065100
2015,Tuas,,,,,,,,,,,,,,,,,,,
2015,Western Islands,,,,,,,,,,,,,,,,,,,
2015,Western Water Catchment,3020,3030,2020,20110,3050,2030,4040,5050,3030,4030,4020,2020,2010,100,1010,0,10,30,400500
2015,Woodlands,62005770,87808210,1083010210,103209730,90008920,90609400,90009680,1001011110,1111011120,1106010000,88008010,74007030,61105530,37603880,18702190,13801710,7901100,440810,1.26E+11
2015,Yishun,52504990,54105030,62705920,73807260,83508660,83508690,75407880,74807630,73507600,85808780,78608090,50604890,62506060,40804260,21102320,14401740,7701160,4701010,99990101980
2020,Ang Mo Kio,27102570,35903440,38703730,44104280,51005220,50305460,48905530,52706070,59106500,57206140,63306450,30203080,60906650,54806480,45705350,25703200,18002350,12102190,7757084700
2020,Bedok,49804810,64706340,71606920,83107730,94609410,90209340,81809550,900010510,1022010870,980010250,1076011180,58105680,1067011190,91409890,73007930,36604370,24403360,18303450,1.34E+11
2020,Bishan,14701320,22602040,24302200,27402510,35803340,28102920,22902800,26703090,31603560,29803320,31703790,20301700,34503680,28303020,20502340,10801350,7501020,5201090,4226045060
2020,Boon Lay,,,,,,,,,,,,,,,,,,,
2020,Bukit Batok,40303890,38703820,43504220,49204890,59606530,67506870,51905790,50605600,56206060,58706030,62306270,34803340,58205930,46904640,28702930,13401550,8601090,6001120,7748080550
2020,Bukit Merah,30502920,33703300,31502980,32803360,43004590,49505590,50605590,55706180,57906040,53805250,54705210,33003180,56205490,48005430,40605080,24003220,18202580,13702560,7273078520
2020,Bukit Panjang,31903060,36503660,41603990,47004590,53505180,50105440,49305170,44804880,50205470,49305180,54705780,36603440,52904990,37203650,23702420,11001310,700980,450940,6815070120
2020,Bukit Timah,15101630,22102740,22602590,21902440,21802380,18202290,21102700,26003190,31503580,29403120,25102800,21002800,23702580,20102210,17601890,10101140,690900,580890,3598041880
2020,Central Water Catchment,,,,,,,,,,,,,,,,,,,
2020,Changi,6070,8070,6050,5050,4050,7080,7080,10070,9080,8060,5050,6080,6040,4030,4020,1010,1010,1010,960890
2020,Changi Bay,,,,,,,,,,,,,,,,,,,
2020,Choa Chu Kang,45904400,52904920,61105980,80107440,83908220,72107230,62906910,60506590,66607470,77708310,82907850,47404540,67106050,44704120,26402740,12001480,7801070,5001070,9569096380
2020,Clementi,18901860,23602290,22402230,23102340,25402580,27603160,31403660,34003850,35603870,31403380,31803220,21602180,27603320,27103550,26103060,13601610,9601180,5701040,4363048360
2020,Downtown Core,5050,3030,4060,5060,90130,160170,200210,160180,170160,130120,13090,6060,12080,7070,7060,2030,2020,5020,15901600
2020,Geylang,20501910,25102290,24502390,29302820,39703960,40804200,37204090,37504090,40404160,39903860,44504150,21702100,45004300,36103690,26903010,14701780,10601510,8401550,5426055860
2020,Hougang,46804440,51405180,58605660,73006860,88608740,83908800,74008070,70908000,80408460,79308690,94509580,47004750,93509270,73407200,49505190,24102880,15902200,10302130,1.11E+11
2020,Jurong East,13101200,18301700,21801990,24602310,29702730,26502720,24202660,24602750,28403020,28102830,30703140,14701430,32803400,29602980,21902230,9901060,610800,420720,3893039670
2020,Jurong West,54305150,76107380,83107800,88408560,98609440,90109330,933010560,1024010640,1079010430,103709760,101309240,66306370,90508770,72707280,49104740,21202440,12601560,7501400,1.32E+11
2020,Kallang,19801960,20802020,21802100,22902280,29003080,34803700,34103880,38603970,40304110,38203500,39003600,21801950,41003650,34503480,27603000,15801840,11901560,8501590,5004051260
2020,Lim Chu Kang,0,100,10,10,0,0,0,0,100,10,1010,0,100,100,100,0,0,0,6050
2020,Mandai,3040,6060,7070,8090,8090,5070,7060,7080,90100,7090,9090,4050,7080,5040,4040,2030,2020,1020,9901100
2020,Marina East,,,,,,,,,,,,,,,,,,,
2020,Marina South,,,,,,,,,,,,,,,,,,,
2020,Marine Parade,910990,12301200,11901180,11801210,12101290,10801300,13501730,16802050,19602190,17101730,15901690,12101210,15001520,11601400,10901390,680870,550790,440800,2170024520
2020,Museum,1010,1010,1010,1010,1010,3030,3040,3030,3030,2020,2020,1020,1010,1010,1010,10,0,100,260250
2020,Newton,190190,260260,180190,170170,160230,180290,260360,330440,410440,350340,310290,330260,230240,200200,190180,8080,5070,7080,39504310
2020,North-Eastern Islands,,,,,,,,,,,,,,,,,,,
2020,Novena,11401030,13701240,12001080,12201180,13201480,15101750,16102060,19402230,21402200,18001810,16901710,16901200,14901580,12801420,10401240,640770,470670,400740,2393025400
2020,Orchard,2030,2040,2030,1020,1030,3040,3040,4040,5040,3040,3030,2020,4030,2030,3020,1010,1010,0,430490
2020,Outram,350300,360380,270270,340340,440460,530540,590680,710790,760670,640600,800600,390410,810650,730630,630620,330380,290370,240460,92109130
2020,Pasir Ris,28902800,39603740,48204540,64206030,68906500,44304610,41804710,45805210,51905660,58007210,70906740,33603180,52604940,35303220,21002230,9601270,6201000,460980,7254074570
2020,Paya Lebar,,,,,,,,,,,,,,,,,,,
2020,Pioneer,,,,,,,,,,,,,,,,,,,
2020,Punggol,81907960,59005510,43804190,35203300,36904640,74009800,1060011590,88908520,73806660,48404460,41203770,79907340,30303410,24902880,18402150,8501050,510680,320630,8594088520
2020,Queenstown,20701910,21402050,20802040,22102410,29103010,30503590,33803800,33803920,36303800,32803570,34103440,22302060,29203330,26003120,22803140,13902090,12001800,9501740,4512050820
2020,River Valley,220240,240310,210310,180240,220310,250350,350510,480560,520560,450430,340320,270340,280290,230210,200200,100120,5090,5080,46205450
2020,Rochor,210200,230250,240280,310280,340420,460460,490480,540530,600510,470460,520430,200230,530480,440480,350440,220260,150210,240190,65306590
2020,Seletar,10,1010,1010,2010,0,100,10,1020,2020,2020,1020,1010,1010,1010,10,0,0,0,140160
