Year,Planning Area,employed,inactive,unemployed
2020,Simpang,,,
2020,Singapore River,,,
2020,Southern Islands,,,
2020,Straits View,,,
2020,Sungei Kadut,,,
2020,Tampines,7876865780,2642546772,48924345
2020,Tanglin,54824723,20573981,202293
2020,Tengah,,,
2020,Toa Payoh,3160731947,1402822820,21282259
2020,Tuas,,,
2020,Western Islands,,,
2020,Western Water Catchment,,,
2020,Woodlands,7745161252,2464542044,46774877
2020,Yishun,6610556092,2076737079,43714037
