Year,Planning Area,chinese,indian,malays,others
2020,Lim Chu Kang,5050,0,0,0
2020,Mandai,780870,140130,5070,2030
2020,Marina East,,,,
2020,Marina South,,,,
2020,Marine Parade,1620018850,27102810,15401590,12601270
2020,Museum,170190,2010,0,6050
2020,Newton,28703210,350390,2040,690650
2020,North-Eastern Islands,,,,
2020,Novena,1966021070,21302010,830900,13001440
2020,Orchard,280350,4040,100,11090
2020,Outram,73607560,720570,880760,240240
2020,Pasir Ris,4838050390,67506380,1458014800,28303010
2020,Paya Lebar,,,,
2020,Pioneer,,,,
2020,Punggol,6518066760,62705930,1283013240,16802590
2020,Queenstown,3634041820,35903460,34103530,17501930
2020,River Valley,31603870,710790,3060,720740
2020,Rochor,46705010,13401050,300320,240230
2020,Seletar,80100,2010,0,3040
2020,Sembawang,3598036900,48604490,81508530,16901990
2020,Sengkang,9470098170,1102010690,1413014450,26403600
2020,Serangoon,4750051260,51005160,24202460,13501660
2020,Simpang,,,,
2020,Singapore River,10401280,160150,1010,340300
2020,Southern Islands,450560,100100,1020,370330
2020,Straits View,,,,
2020,Sungei Kadut,290290,4040,0,1010
2020,Tampines,8430089370,1116010540,2796028620,36104370
2020,Tanglin,73808910,10901120,100130,15501540
2020,Tengah,,,,
2020,Toa Payoh,4783053490,43504240,41804270,15501990
2020,Tuas,,,,
2020,Western Islands,,,,
2020,Western Water Catchment,220290,4030,0,3030
2020,Woodlands,7769077620,1460013620,3290032580,27503300
2020,Yishun,7551077660,1123010710,2015020260,26003520
