Age Group,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
0-4 Years,8281,8301,8304,8089,7979,7828,7907,7965,7752,7603,7412,7219,6571,5878,5191,4615,4158,3698,3344,3263,3283,3280,3457,3874,4569
5-9 Years,7770,7739,7625,7378,7197,7182,7464,7796,7903,8094,7872,7293,6389,5537,4735,4104,3710,3393,3059,2906,2999,3013,3316,4318,5819
10-14 Years,7008,7238,7319,7488,7742,7890,7951,8018,7992,7910,7748,7261,6387,5675,5006,4375,4052,3672,3485,3419,3356,3442,3630,3936,4418
15-19 Years,8030,7987,8035,8078,8307,8674,8924,9237,9245,9086,8595,8025,7187,6549,5789,5241,4853,4453,4018,3892,3899,3969,4225,4758,5458
20-24 Years,9321,9591,9787,9924,9929,9939,10299,10523,10218,10033,9581,8974,8071,7081,6184,5689,5334,5069,5013,4996,4982,5014,5139,5327,5982
25-29 Years,10195,10188,10154,10049,9918,9824,9746,9795,9361,9007,8676,8112,7381,6851,6155,5707,5333,4990,4541,4466,4377,4429,4981,5713,7009
30-34 Years,9307,8960,8681,7988,7659,7383,7393,7448,7539,7450,7201,6841,6009,5345,4823,4536,4324,4302,4312,4351,4360,4410,4765,5302,6203
35-39 Years,8117,7549,7210,7052,7021,6912,6972,6871,6611,6605,6462,6143,6051,5949,5547,5254,5054,4832,4799,4939,5010,5236,5588,6039,6882
40-44 Years,9746,9321,8712,8542,8475,8323,7850,7844,8279,8438,8318,8122,7590,7236,6954,6728,6610,6448,6326,6362,6608,6855,7405,7970,8622
45-49 Years,10924,10577,10374,10423,10476,10231,10041,10005,10276,10755,10806,10613,9898,9342,8770,8412,8298,8326,8406,8371,8183,8016,8057,8062,8407
50-54 Years,12329,12111,11805,11974,12518,12871,12968,12993,13097,12896,12585,12176,11526,10941,10150,9646,9348,8884,8407,7973,7809,7515,7782,7924,7969
55-59 Years,15058,15285,15060,15077,15257,15275,15200,14965,14734,14367,13183,12233,11230,10389,9518,9197,8774,8616,8476,7890,7047,6548,6358,5860,6378
60-64 Years,18729,18277,17702,17641,17485,16892,16467,15605,14682,13579,12274,11258,10566,10132,9167,8197,7654,6974,6319,6356,7055,7130,7806,7226,7009
65-69 Years,20278,19402,18188,17236,16448,15680,14855,13963,13182,12029,9991,8922,7812,6866,6793,7435,7585,7767,7432,7045,6766,6400,6668,6745,7008
70-74 Years,17576,16414,15171,14517,13389,11608,10435,9061,7774,7620,7858,7819,7804,7427,6923,6664,6356,6330,6433,6326,6126,5940,6388,6250,6372
75-79 Years,11551,10199,8816,7440,7377,7791,7665,7619,7205,6664,6113,5777,5540,5494,5314,5149,5038,4958,4690,4404,4128,3571,4491,4090,3819
80-84 Years,6313,6190,6145,5936,5598,5209,4828,4559,4500,4385,4006,3825,3577,3396,3196,2996,2668,2594,2484,2381,2356,2315,2383,2163,2088
85-89 Years,3381,3129,2967,2991,2928,2690,2541,2440,2261,2131,1963,1794,1645,1517,1384,1328,1334,1371,1336,1279,1316,1241,1256,1204,1226
90 Years & Over,1819,1750,1801,1736,1655,1569,1449,1345,1236,1140,1076,1038,980,868,834,860,819,835,796,760,762,698,685,626,587
