Year,Region,Gender,Category,Attribute,Value
1/1/2015,NORTH-EAST REGION,,income_from_work,sgd_1000_to_1499,39900
1/1/2020,NORTH-EAST REGION,,industry,manufacturing,45155
1/1/2010,NORTH-EAST REGION,female,age_group,age_20_24,23600
1/1/2015,CENTRAL REGION,,religion,taoism,65000
1/1/2000,CENTRAL REGION,male,ethnic_distribution,others,3655
1/1/2010,NORTH-EAST REGION,,income_from_work,sgd_4000_to_4999,38967
1/1/2015,NORTH REGION,,household_income,sgd_13000_to_13999,4700
1/1/2010,NORTH-EAST REGION,,language_spoken_at_home,mly_oth_lang,0
1/1/2015,NORTH-EAST REGION,,household_income,,
1/1/2000,EAST REGION,male,marital_status,divorced,3806
1/1/2020,NORTH REGION,,mode_of_transport_school,mrt_lrt_only,9913
1/1/2000,EAST REGION,,mode_of_transport_work,car,72758
1/1/2020,EAST REGION,,household_structure,three_more_fam_nucleus,724
1/1/2015,EAST REGION,,household_size,person2,42100
1/1/2010,NORTH REGION,,mode_of_transport_work,taxi_pvt_hire_car_only,0
1/1/2000,EAST REGION,female,age_group,age_20_24,20030
1/1/2000,WEST REGION,,income_from_work,sgd_2000_to_2499,49840
1/1/2000,CENTRAL REGION,,industry,business_services,60953
1/1/2010,CENTRAL REGION,,mode_of_transport_school,bus,45976
1/1/2010,CENTRAL REGION,female,age_group,age_0_4,21060
1/1/2020,EAST REGION,,language_literate,l1_chi,63722
1/1/2015,CENTRAL REGION,,income_from_work,sgd_2500_to_2999,24800
1/1/2010,CENTRAL REGION,,industry,accommodation_food_services,32790
1/1/2000,NORTH-EAST REGION,male,age_group,age_70_74,4780
1/1/2010,NORTH REGION,,language_literate,l2_eng_non_off,9805
1/1/2020,CENTRAL REGION,,industry,professional_services,47163
1/1/2015,NORTH REGION,,industry,wholesale_retail_trade,50800
1/1/2015,NORTH REGION,,education_attending,prof_qualification_diploma,1300
1/1/2000,WEST REGION,male,age_group,age_30_34,35610
1/1/2015,NORTH-EAST REGION,,education_attending,post_secondary,11200
1/1/2010,NORTH-EAST REGION,,mode_of_transport_school,pvt_chartered_bus,14320
1/1/2010,NORTH REGION,,language_literate,l1_mal,7929
1/1/2000,WEST REGION,male,marital_status,widowed,4396
1/1/2020,NORTH-EAST REGION,,household_size,person3,64534
1/1/2015,NORTH-EAST REGION,,dwelling_type_population,total,834510
1/1/2010,WEST REGION,,dwelling_type_population,hdb_3_room_flats,130710
1/1/2015,NORTH-EAST REGION,female,economic_status,unemployed,7800
1/1/2010,WEST REGION,,education_attending,pre_primary,15972
1/1/2010,NORTH-EAST REGION,male,age_group,age_40_44,28980
1/1/2020,CENTRAL REGION,,mode_of_transport_school,no_transport_required,27508
1/1/2015,NORTH-EAST REGION,female,economic_status,employed,220200
1/1/2000,WEST REGION,,household_size,person5,40980
1/1/2015,NORTH REGION,,language_spoken_at_home,eng_oth_ind_lang,0
1/1/2010,EAST REGION,female,age_group,age_15_19,27320
1/1/2020,CENTRAL REGION,,industry,hotels_restaurants,
1/1/2010,NORTH-EAST REGION,female,age_group,age_30_34,33420
1/1/2015,EAST REGION,,language_spoken_at_home,mand_eng,0
1/1/2010,EAST REGION,male,age_group,age_80_84,2670
1/1/2020,NORTH-EAST REGION,,religion,hinduism,37295
1/1/2020,NORTH-EAST REGION,,mode_of_transport_school,no_transport_required,45895
1/1/2010,NORTH REGION,,mode_of_transport_work,mrt,46801
1/1/2015,NORTH REGION,,industry,others,3800
1/1/2020,WEST REGION,,industry,others,6632
1/1/2015,NORTH REGION,male,age_group,age_30_34,20440
1/1/2010,NORTH-EAST REGION,,language_spoken_at_home,oth_lang_eng,0
1/1/2020,NORTH-EAST REGION,,language_spoken_at_home,eng_mly,42384
1/1/2000,NORTH-EAST REGION,female,age_group,age_85_over,2020
1/1/2010,NORTH-EAST REGION,,religion,buddhism,224295
1/1/2010,NORTH REGION,,mode_of_transport_work,car,47488
1/1/2010,CENTRAL REGION,female,marital_status,single,122401
1/1/2020,CENTRAL REGION,,religion,catholic_christian,66382
1/1/2015,WEST REGION,,language_literate,l2_other_two,3400
1/1/2010,NORTH REGION,male,marital_status,divorced,4546
1/1/2000,NORTH REGION,,household_structure,ofn_3_more_gen,7133
1/1/2020,NORTH-EAST REGION,,household_structure,tfn_1to2_gen,3591
1/1/2000,NORTH REGION,,dwelling_type_household,total_hdb,109103
1/1/2015,NORTH-EAST REGION,,household_income,sgd_11000_to_11999,10700
1/1/2010,NORTH-EAST REGION,,industry,others,4199
1/1/2015,NORTH-EAST REGION,male,marital_status,divorced,8000
1/1/2015,CENTRAL REGION,,income_from_work,sgd_2000_to_2999,0
1/1/2010,NORTH REGION,,language_literate,l2_other_two,1870
1/1/2000,WEST REGION,,language_spoken_at_home,mly_eng,0
1/1/2000,NORTH REGION,female,age_group,age_30_34,21600
1/1/2020,WEST REGION,,household_structure,ofn_1_gen,45008
1/1/2010,EAST REGION,,industry,transport_communications,0
1/1/2000,CENTRAL REGION,,language_spoken_at_home,oth_ind_lang_oth_lang,0
1/1/2000,WEST REGION,,education_attending,prof_qualification_diploma,0
1/1/2000,WEST REGION,,household_income,sgd_9000_to_9999,
1/1/2015,NORTH-EAST REGION,,religion,no_religion,135700
1/1/2010,CENTRAL REGION,,dwelling_type_household,landed_properties,22848
1/1/2000,EAST REGION,,income_from_work,sgd_1000_to_1499,33565
1/1/2020,NORTH REGION,,household_size,person7,4172
1/1/2015,CENTRAL REGION,,household_income,sgd_4000_to_4999,15300
1/1/2020,WEST REGION,,language_literate,l2_eng_mal,120775
1/1/2020,NORTH-EAST REGION,male,age_group,age_30_34,34440
1/1/2000,NORTH REGION,female,marital_status,widowed,9621
1/1/2000,EAST REGION,,household_structure,,
1/1/2015,NORTH REGION,,industry,hotels_restaurants,0
1/1/2000,NORTH-EAST REGION,female,marital_status,divorced,6556
1/1/2020,NORTH-EAST REGION,,language_literate,l2_eng_non_off,14157
1/1/2015,NORTH-EAST REGION,,household_income,total,263700
1/1/2015,WEST REGION,female,age_group,total,453900
1/1/2020,EAST REGION,female,age_group,age_5_9,14450
1/1/2015,CENTRAL REGION,,mode_of_transport_work,pvt_chartered_bus,6000
1/1/2015,NORTH REGION,male,age_group,age_85_over,1090
1/1/2010,CENTRAL REGION,,mode_of_transport_work,other_combi_mrt_or_bus,0
1/1/2010,NORTH-EAST REGION,female,economic_status,inactive,143203
1/1/2020,NORTH REGION,,mode_of_transport_work,bus,37563
1/1/2020,NORTH-EAST REGION,,income_from_work,sgd_2000_to_2499,0
1/1/2010,WEST REGION,,household_size,person_more_8,4374
1/1/2020,EAST REGION,,dwelling_type_population,hdb_1_and_2_room_flats,18090
1/1/2020,CENTRAL REGION,female,economic_status,unemployed,13811
1/1/2020,EAST REGION,,religion,hinduism,23238
1/1/2015,WEST REGION,male,age_group,age_50_54,37930
1/1/2015,NORTH-EAST REGION,,dwelling_type_population,condominiums_and_other_apartments,61970
1/1/2015,NORTH REGION,female,ethnic_distribution,chinese,178190
1/1/2000,CENTRAL REGION,,household_structure,three_more_fam_nucleus,580
1/1/2010,CENTRAL REGION,male,marital_status,married,218091
1/1/2015,CENTRAL REGION,male,age_group,age_60_64,30500
1/1/2000,EAST REGION,,household_income,sgd_14000_to_14999,
1/1/2000,NORTH REGION,,language_spoken_at_home,oth_ind_lang_eng,0
1/1/2010,WEST REGION,,mode_of_transport_school,pvt_chartered_bus,19236
1/1/2015,WEST REGION,,mode_of_transport_school,other_combi_mrt_or_bus,12400
1/1/2020,EAST REGION,,dwelling_type_population,total,685890
1/1/2020,EAST REGION,,mode_of_transport_work,others,6882
1/1/2020,NORTH REGION,,language_literate,no_literate,12374
1/1/2000,CENTRAL REGION,,mode_of_transport_work,mrt_lrt_only,0
1/1/2000,WEST REGION,female,marital_status,divorced,7509
1/1/2020,CENTRAL REGION,male,age_group,age_80_84,9920
1/1/2015,NORTH-EAST REGION,,household_structure,ofn_3_more_gen,14700
1/1/2020,CENTRAL REGION,female,age_group,age_15_19,21140
1/1/2015,NORTH-EAST REGION,,language_spoken_at_home,tml_oth_lang,0
1/1/2015,NORTH REGION,female,ethnic_distribution,others,8130
1/1/2010,NORTH REGION,,household_income,sgd_17500_to_19999,
1/1/2015,NORTH-EAST REGION,,language_literate,l1_eng,70100
1/1/2000,WEST REGION,male,age_group,age_20_24,25440
1/1/2015,NORTH REGION,,household_income,sgd_12000_to_12999,5400
1/1/2020,WEST REGION,,dwelling_type_household,hdb_1_and_2_room_flats,12564
1/1/2020,NORTH-EAST REGION,,language_literate,l1_chi,102216
1/1/2010,EAST REGION,female,marital_status,widowed,23442
1/1/2010,NORTH REGION,,income_from_work,sgd_1000_to_1499,25757
1/1/2000,NORTH REGION,,industry,transport_communications,20549
1/1/2020,NORTH-EAST REGION,,mode_of_transport_work,mrt_lrt_and_bus,124930
1/1/2000,NORTH-EAST REGION,,dwelling_type_population,hdb_1_and_2_room_flats,12360
1/1/2010,EAST REGION,,industry,business_services,0
1/1/2015,EAST REGION,female,age_group,age_45_49,28730
1/1/2020,NORTH REGION,male,age_group,age_70_74,8400
1/1/2000,CENTRAL REGION,,household_size,person7,6354
1/1/2000,NORTH REGION,,dwelling_type_population,hdb_5_room_and_executive_flats,136680
1/1/2015,NORTH REGION,,language_spoken_at_home,other_indian_languages,5300
1/1/2000,WEST REGION,,tenancy,,
1/1/2015,CENTRAL REGION,,language_spoken_at_home,mand_chn_dlt,0
1/1/2000,EAST REGION,,mode_of_transport_school,bus,46479
1/1/2015,CENTRAL REGION,,tenancy,others,2500
1/1/2000,NORTH-EAST REGION,,mode_of_transport_work,others,17549
1/1/2010,NORTH REGION,female,economic_status,employed,106468
1/1/2000,EAST REGION,female,age_group,age_0_4,23840
1/1/2010,EAST REGION,,education_attending,polytechnic,17781
1/1/2020,NORTH REGION,,language_literate,l3_eng_chi_mal,26410
1/1/2010,NORTH-EAST REGION,,industry,manufacturing,48418
1/1/2015,CENTRAL REGION,,industry,other_services_industries,0
1/1/2000,EAST REGION,female,age_group,age_60_64,9750
1/1/2010,EAST REGION,,income_from_work,total,345889
1/1/2015,WEST REGION,male,ethnic_distribution,chinese,321690
1/1/2015,EAST REGION,,industry,arts_entertainment_recreation,5500
1/1/2010,NORTH REGION,,language_literate,l2_eng_chi,152956
1/1/2010,CENTRAL REGION,,language_spoken_at_home,eng_tml,0
1/1/2010,EAST REGION,,language_literate,l2_eng_mal,107713
1/1/2020,EAST REGION,,industry,construction,12311
1/1/2010,EAST REGION,,household_structure,ofn_1_gen,22443
1/1/2000,NORTH REGION,,household_income,sgd_11000_to_11999,
1/1/2000,WEST REGION,,industry,others,2816
1/1/2020,WEST REGION,,industry,admin_support_services,32189
1/1/2000,CENTRAL REGION,,household_income,total,268317
1/1/2020,CENTRAL REGION,,income_from_work,sgd_15000_over,66327
1/1/2010,WEST REGION,,religion,no_religion,122303
1/1/2000,WEST REGION,,language_literate,l1_chi,136433
1/1/2020,CENTRAL REGION,,income_from_work,total,465100
1/1/2010,EAST REGION,male,economic_status,inactive,74146
1/1/2010,EAST REGION,,household_size,,
1/1/2020,NORTH-EAST REGION,female,age_group,age_5_9,25710
1/1/2020,NORTH REGION,,language_literate,l1_mal,8424
1/1/2015,CENTRAL REGION,,income_from_work,sgd_10000_to_10999,14700
1/1/2020,CENTRAL REGION,,industry,other_comm_social_personal,14605
1/1/2020,EAST REGION,,mode_of_transport_school,motorcycle_scooter,517
1/1/2000,WEST REGION,,language_spoken_at_home,english,123407
1/1/2000,EAST REGION,,mode_of_transport_school,mrt_bus,11777
1/1/2015,NORTH REGION,,religion,islam,85800
1/1/2020,NORTH-EAST REGION,,language_spoken_at_home,eng_oth_ind_lang,8693
1/1/2020,WEST REGION,,religion,islam,146338
1/1/2000,CENTRAL REGION,,dwelling_type_population,total_hdb,687400
1/1/2000,NORTH-EAST REGION,,income_from_work,sgd_10000_to_10999,
1/1/2010,NORTH-EAST REGION,,household_size,person3,48412
1/1/2000,NORTH REGION,,mode_of_transport_school,mrt_lrt_and_bus,0
1/1/2015,NORTH REGION,,education_attending,pre_primary,8300
1/1/2015,EAST REGION,,language_spoken_at_home,chn_dlt_eng,0
1/1/2000,EAST REGION,,mode_of_transport_work,taxi_pvt_hire_car_only,0
1/1/2010,WEST REGION,female,marital_status,divorced,13399
1/1/2015,NORTH REGION,,dwelling_type_population,hdb_3_room_flats,59930
1/1/2020,EAST REGION,,income_from_work,sgd_8000_over,0
1/1/2020,NORTH REGION,,language_spoken_at_home,mandarin,39663
1/1/2015,NORTH-EAST REGION,,household_structure,no_family_nucleus,35500
1/1/2000,WEST REGION,,income_from_work,,
1/1/2020,NORTH-EAST REGION,,household_size,person2,69705
1/1/2010,CENTRAL REGION,,mode_of_transport_work,other_combi_mrt_lrt_or_bus,0
1/1/2010,WEST REGION,,mode_of_transport_school,taxi_pvt_hire_car_only,0
1/1/2000,EAST REGION,,industry,accommodation_food_services,0
1/1/2015,EAST REGION,,language_literate,no_literate,16600
1/1/2020,WEST REGION,,mode_of_transport_work,mrt_lrt_only,54604
1/1/2020,EAST REGION,female,ethnic_distribution,chinese,245040
1/1/2015,WEST REGION,,language_literate,l2_eng_non_off,14500
1/1/2015,CENTRAL REGION,female,age_group,age_55_59,35470
1/1/2010,EAST REGION,,language_spoken_at_home,oth_lang_oth_non_eng_lang,0
1/1/2000,WEST REGION,,income_from_work,sgd_12000_over,
1/1/2020,WEST REGION,,language_spoken_at_home,chn_dlt_mand,37717
1/1/2010,NORTH-EAST REGION,,mode_of_transport_work,mrt_lrt_and_bus,0
1/1/2015,CENTRAL REGION,,mode_of_transport_school,mrt_car,0
1/1/2020,CENTRAL REGION,,household_income,sgd_7000_to_7999,11675
1/1/2010,CENTRAL REGION,,language_spoken_at_home,mly_oth_lang,0
1/1/2000,CENTRAL REGION,female,age_group,age_70_74,14610
1/1/2020,CENTRAL REGION,,income_from_work,sgd_1000_to_1999,58729
1/1/2020,WEST REGION,male,age_group,age_45_49,34510
1/1/2000,NORTH REGION,,household_income,sgd_3000_to_3999,16306
1/1/2000,NORTH REGION,,income_from_work,sgd_5000_to_5999,7518
1/1/2015,EAST REGION,,mode_of_transport_school,pvt_chartered_bus_van,0
1/1/2000,EAST REGION,,mode_of_transport_school,mrt_lrt_only,0
1/1/2015,EAST REGION,female,economic_status,inactive,121900
1/1/2015,CENTRAL REGION,,household_income,sgd_6000_to_6999,14000
1/1/2020,NORTH REGION,female,age_group,age_20_24,19770
1/1/2015,EAST REGION,male,age_group,age_15_19,24580
1/1/2000,NORTH-EAST REGION,,language_literate,l2_eng_mal,30532
1/1/2015,EAST REGION,,education_attending,university,20400
1/1/2020,CENTRAL REGION,,mode_of_transport_school,others,987
1/1/2000,WEST REGION,,language_spoken_at_home,eng_tml,0
1/1/2015,EAST REGION,female,age_group,age_80_84,5480
1/1/2020,EAST REGION,,industry,hotels_restaurants,
1/1/2020,NORTH REGION,,household_income,sgd_17500_to_19999,6609
1/1/2000,WEST REGION,,language_spoken_at_home,eng_oth_ind_lang,0
1/1/2015,NORTH REGION,female,age_group,age_5_9,14640
1/1/2020,WEST REGION,,income_from_work,sgd_1500_to_1999,0
1/1/2015,CENTRAL REGION,,language_spoken_at_home,mand_eng,0
1/1/2000,NORTH-EAST REGION,female,age_group,total,286420
1/1/2000,NORTH REGION,,household_income,sgd_8000_over,14121
1/1/2010,CENTRAL REGION,male,age_group,age_80_84,6340
1/1/2010,CENTRAL REGION,female,age_group,age_15_19,27070
1/1/2020,EAST REGION,,mode_of_transport_school,no_transport_required,23720
1/1/2020,CENTRAL REGION,,household_income,below_sgd_1000,8404
1/1/2000,WEST REGION,,language_spoken_at_home,chn_dlt_oth_lang,0
1/1/2015,WEST REGION,,mode_of_transport_school,other_combi_mrt_lrt_or_bus,0
1/1/2020,CENTRAL REGION,,religion,taoism,60136
1/1/2010,EAST REGION,,household_income,sgd_4000_to_4999,15802
1/1/2010,CENTRAL REGION,,household_structure,,
1/1/2020,CENTRAL REGION,female,marital_status,married,212878
1/1/2010,NORTH-EAST REGION,male,age_group,age_10_14,23700
1/1/2010,EAST REGION,,income_from_work,sgd_2000_to_2999,0
1/1/2015,NORTH-EAST REGION,,language_spoken_at_home,oth_ind_lang_oth_lang,0
1/1/2020,CENTRAL REGION,,mode_of_transport_school,other_combi_mrt_lrt_or_bus,1379
1/1/2015,CENTRAL REGION,,industry,transport_communications,0
1/1/2010,CENTRAL REGION,male,age_group,age_10_14,24600
1/1/2000,NORTH REGION,,mode_of_transport_work,mrt,31783
1/1/2000,EAST REGION,,dwelling_type_household,landed_properties,9906
1/1/2010,EAST REGION,,language_spoken_at_home,oth_ind_lang_oth_lang,0
1/1/2000,NORTH REGION,,mode_of_transport_work,no_transport_required,10650
1/1/2020,WEST REGION,,language_spoken_at_home,eng_oth_ind_lang,8104
1/1/2020,NORTH-EAST REGION,,dwelling_type_population,hdb_1_and_2_room_flats,35680
1/1/2000,NORTH REGION,,household_income,sgd_17500_to_19999,
1/1/2010,WEST REGION,male,age_group,age_20_24,31080
1/1/2000,WEST REGION,female,economic_status,,
1/1/2015,NORTH-EAST REGION,female,ethnic_distribution,malays,36940
1/1/2020,CENTRAL REGION,,mode_of_transport_school,mrt_bus,0
1/1/2020,NORTH-EAST REGION,,language_spoken_at_home,other_indian_languages,0
1/1/2020,NORTH-EAST REGION,female,age_group,total,476870
1/1/2020,WEST REGION,female,age_group,age_40_44,34340
1/1/2000,CENTRAL REGION,male,age_group,age_75_79,8100
1/1/2010,NORTH-EAST REGION,,language_spoken_at_home,oth_lang_oth_non_eng_lang,0
1/1/2010,NORTH-EAST REGION,male,age_group,age_15_19,24990
1/1/2010,CENTRAL REGION,,mode_of_transport_school,mrt_other,220
1/1/2020,EAST REGION,,language_literate,l1_eng,65379
1/1/2015,EAST REGION,,language_literate,l2_eng_tam,14200
1/1/2020,EAST REGION,,household_structure,ofn_3_more_gen,13663
1/1/2015,NORTH REGION,,household_income,sgd_11000_to_11999,6300
1/1/2015,CENTRAL REGION,,income_from_work,below_sgd_1000,40300
1/1/2010,WEST REGION,,language_spoken_at_home,eng_oth_lang,0
1/1/2020,EAST REGION,,dwelling_type_household,total_hdb,167491
1/1/2015,WEST REGION,,mode_of_transport_work,mrt_bus,121700
1/1/2010,WEST REGION,,household_income,no_working_person,20259
1/1/2020,NORTH-EAST REGION,,mode_of_transport_work,mrt,0
1/1/2020,CENTRAL REGION,,language_literate,l2_other_two,1626
1/1/2010,WEST REGION,,religion,hinduism,41299
1/1/2015,CENTRAL REGION,,language_spoken_at_home,eng_oth_lang,0
1/1/2015,CENTRAL REGION,,dwelling_type_population,condominiums_and_other_apartments,184010
1/1/2010,NORTH REGION,,education_attending,,
1/1/2010,NORTH-EAST REGION,,household_structure,,
1/1/2015,CENTRAL REGION,,household_income,no_working_person,45400
1/1/2015,NORTH REGION,,language_literate,l2_eng_mal,77600
1/1/2000,EAST REGION,female,ethnic_distribution,,
1/1/2020,CENTRAL REGION,,language_spoken_at_home,malay,11191
1/1/2010,NORTH REGION,,mode_of_transport_work,taxi,1799
1/1/2015,NORTH REGION,,household_structure,ofn_1_gen,21800
1/1/2020,CENTRAL REGION,,mode_of_transport_work,pvt_chartered_bus,0
1/1/2015,EAST REGION,,dwelling_type_population,hdb_1_and_2_room_flats,15660
1/1/2015,CENTRAL REGION,male,age_group,total,454210
1/1/2010,WEST REGION,,household_income,sgd_1000_to_1999,16547
1/1/2010,WEST REGION,,income_from_work,sgd_7000_to_7999,15962
1/1/2015,EAST REGION,,language_spoken_at_home,tml_oth_lang,0
1/1/2000,NORTH-EAST REGION,,industry,professional_services,0
1/1/2020,NORTH-EAST REGION,,household_size,person5,38195
1/1/2010,WEST REGION,,mode_of_transport_work,motorcycle_scooter,19147
1/1/2000,EAST REGION,female,economic_status,unemployed,7324
1/1/2010,EAST REGION,female,ethnic_distribution,malays,66843
1/1/2015,NORTH REGION,,income_from_work,sgd_7000_to_7999,13900
1/1/2015,CENTRAL REGION,,industry,construction,18900
1/1/2020,NORTH REGION,male,age_group,age_50_54,22040
1/1/2000,CENTRAL REGION,,dwelling_type_household,condominiums_and_other_apartments,31376
1/1/2020,WEST REGION,,household_income,sgd_8000_to_8999,15826
1/1/2020,NORTH-EAST REGION,,dwelling_type_household,total_hdb,247926
1/1/2015,NORTH REGION,,household_income,sgd_1000_to_1999,7900
1/1/2015,EAST REGION,female,age_group,age_65_69,16580
1/1/2020,WEST REGION,male,age_group,age_85_over,3290
1/1/2010,EAST REGION,,mode_of_transport_school,lorry_pickup,343
1/1/2000,NORTH-EAST REGION,,mode_of_transport_school,mrt_bus,6519
1/1/2020,NORTH-EAST REGION,female,ethnic_distribution,chinese,381090
1/1/2020,EAST REGION,,mode_of_transport_school,taxi,0
1/1/2010,EAST REGION,,language_spoken_at_home,oth_lang_eng,0
1/1/2020,NORTH REGION,,dwelling_type_population,others,3070
1/1/2020,NORTH-EAST REGION,,religion,other_christians,91042
1/1/2020,NORTH-EAST REGION,,mode_of_transport_school,pvt_chartered_bus,0
1/1/2015,NORTH-EAST REGION,,industry,other_comm_social_personal,16200
1/1/2000,EAST REGION,male,age_group,age_65_69,6730
1/1/2010,EAST REGION,female,age_group,total,351400
1/1/2010,NORTH REGION,,income_from_work,sgd_1500_to_1999,27370
1/1/2020,NORTH-EAST REGION,,household_income,sgd_5000_to_5999,16382
1/1/2015,CENTRAL REGION,,income_from_work,sgd_12000_over,69300
1/1/2010,CENTRAL REGION,,household_structure,tfn_1to2_gen,3895
1/1/2015,NORTH-EAST REGION,,income_from_work,sgd_9000_to_9999,13300
1/1/2015,EAST REGION,male,economic_status,unemployed,7400
1/1/2020,NORTH-EAST REGION,,language_spoken_at_home,eng_mand,256445
1/1/2015,NORTH-EAST REGION,,industry,health_social_services,23100
1/1/2000,CENTRAL REGION,,language_literate,,
1/1/2000,NORTH-EAST REGION,male,age_group,age_35_39,26730
1/1/2010,NORTH REGION,,mode_of_transport_school,mrt_lrt_only,0
1/1/2020,NORTH REGION,male,age_group,total,289600
1/1/2010,CENTRAL REGION,,household_income,,
1/1/2000,NORTH-EAST REGION,,mode_of_transport_school,no_transport_required,32970
1/1/2010,CENTRAL REGION,,household_income,sgd_8000_to_8999,12393
1/1/2020,NORTH-EAST REGION,,income_from_work,sgd_4000_to_4999,52553
1/1/2015,NORTH-EAST REGION,,household_income,sgd_8000_to_8999,13900
1/1/2015,WEST REGION,,education_attending,primary,64800
1/1/2010,NORTH REGION,female,ethnic_distribution,,
1/1/2000,NORTH REGION,,household_size,person4,30001
1/1/2000,EAST REGION,,mode_of_transport_work,taxi,4494
1/1/2000,CENTRAL REGION,male,age_group,age_65_69,18050
1/1/2020,WEST REGION,female,age_group,age_50_54,35510
1/1/2015,EAST REGION,,income_from_work,sgd_12000_over,38900
1/1/2010,EAST REGION,,household_structure,tfn_1to2_gen,3246
1/1/2000,NORTH REGION,,language_literate,l1_tam,1643
1/1/2015,NORTH REGION,,mode_of_transport_school,car,8100
1/1/2010,CENTRAL REGION,female,age_group,total,479020
1/1/2020,NORTH REGION,female,age_group,age_85_over,3140
1/1/2015,CENTRAL REGION,male,economic_status,unemployed,10000
1/1/2010,NORTH REGION,,dwelling_type_household,,
1/1/2000,CENTRAL REGION,,dwelling_type_household,others,2147
1/1/2000,EAST REGION,,language_spoken_at_home,chn_dlt_oth_lang,0
1/1/2010,WEST REGION,,income_from_work,sgd_2000_to_2999,0
1/1/2010,WEST REGION,,household_income,sgd_4000_to_4999,22908
1/1/2015,EAST REGION,,mode_of_transport_school,other_combi_mrt_lrt_or_bus,0
1/1/2015,NORTH REGION,female,age_group,age_75_79,4020
1/1/2000,WEST REGION,,religion,islam,103019
1/1/2010,EAST REGION,,income_from_work,sgd_15000_over,0
1/1/2020,EAST REGION,male,age_group,age_40_44,21850
1/1/2020,EAST REGION,,language_spoken_at_home,eng_tml,9302
1/1/2015,EAST REGION,,language_literate,l3_eng_mal_tam,
1/1/2015,CENTRAL REGION,,mode_of_transport_work,lorry_pickup,5200
1/1/2015,WEST REGION,,mode_of_transport_work,no_transport_required,36100
1/1/2015,CENTRAL REGION,male,age_group,age_0_4,20580
1/1/2010,NORTH REGION,,household_structure,no_family_nucleus,17484
1/1/2020,NORTH REGION,,dwelling_type_population,landed_properties,11690
1/1/2000,NORTH-EAST REGION,male,age_group,age_25_29,22770
1/1/2000,NORTH REGION,,industry,health_social_services,0
1/1/2010,NORTH REGION,female,age_group,age_10_14,18650
1/1/2020,NORTH REGION,male,marital_status,married,147243
1/1/2010,CENTRAL REGION,,tenancy,others,5035
1/1/2010,NORTH-EAST REGION,,industry,transport_communications,0
1/1/2020,NORTH-EAST REGION,,household_income,sgd_2000_to_2999,15648
1/1/2015,NORTH REGION,,language_literate,l1_non_off,600
1/1/2020,CENTRAL REGION,,language_spoken_at_home,oth_lang_eng,5319
1/1/2015,CENTRAL REGION,,dwelling_type_household,hdb_5_room_and_executive_flats,40600
1/1/2000,WEST REGION,,mode_of_transport_work,mrt_car,1410
1/1/2020,CENTRAL REGION,,mode_of_transport_school,car,26391
1/1/2015,EAST REGION,male,age_group,age_35_39,22760
1/1/2000,WEST REGION,male,ethnic_distribution,indian,25692
1/1/2010,CENTRAL REGION,,household_size,person5,35978
1/1/2020,CENTRAL REGION,,mode_of_transport_school,lorry_pickup,95
1/1/2020,WEST REGION,,dwelling_type_household,hdb_5_room_and_executive_flats,86586
1/1/2015,NORTH REGION,,industry,other_comm_social_personal,10300
1/1/2010,NORTH-EAST REGION,,mode_of_transport_school,car,19662
1/1/2010,WEST REGION,,language_literate,l2_eng_tam,29813
1/1/2020,NORTH REGION,,income_from_work,sgd_10000_to_10999,7387
1/1/2000,CENTRAL REGION,,income_from_work,sgd_1500_to_1999,50600
1/1/2010,NORTH REGION,male,age_group,age_75_79,2380
1/1/2010,EAST REGION,,language_literate,l1_tam,898
1/1/2000,NORTH REGION,,mode_of_transport_school,mrt_other,0
1/1/2020,EAST REGION,,mode_of_transport_school,other_combi_mrt_or_bus,0
1/1/2015,CENTRAL REGION,,language_literate,l2_eng_tam,24900
1/1/2015,WEST REGION,female,age_group,age_0_4,20080
1/1/2010,WEST REGION,,income_from_work,sgd_2500_to_2999,38871
1/1/2020,CENTRAL REGION,,language_literate,l1_eng,104320
1/1/2015,NORTH REGION,,household_income,sgd_10000_over,
1/1/2015,WEST REGION,,dwelling_type_household,condominiums_and_other_apartments,32000
1/1/2020,NORTH-EAST REGION,,language_spoken_at_home,tamil,3374
1/1/2010,EAST REGION,,mode_of_transport_school,mrt_other,200
1/1/2010,NORTH-EAST REGION,,income_from_work,sgd_2500_to_2999,30355
1/1/2015,WEST REGION,,mode_of_transport_school,bus,46000
1/1/2020,NORTH REGION,,language_spoken_at_home,tamil,1972
1/1/2000,EAST REGION,male,age_group,age_75_79,2900
1/1/2010,WEST REGION,,dwelling_type_population,hdb_1_and_2_room_flats,6840
1/1/2010,NORTH REGION,,language_spoken_at_home,chinese_dialects,51231
1/1/2010,NORTH-EAST REGION,,industry,accommodation_food_services,22472
1/1/2015,WEST REGION,,household_structure,tfn_3_more_gen,
1/1/2010,EAST REGION,,income_from_work,sgd_1000_to_1999,0
1/1/2010,EAST REGION,,household_income,sgd_7000_to_7999,11951
1/1/2000,NORTH REGION,,industry,financial_insurance_services,7874
1/1/2010,EAST REGION,,dwelling_type_household,condominiums_and_other_apartments,27459
1/1/2015,EAST REGION,,mode_of_transport_work,mrt_other,0
1/1/2000,CENTRAL REGION,male,age_group,age_55_59,22320
1/1/2020,WEST REGION,,household_income,sgd_5000_to_5999,17828
1/1/2015,CENTRAL REGION,,language_literate,l3_eng_chi_mal,
1/1/2020,WEST REGION,,income_from_work,sgd_3000_to_3999,68107
