Year,Region,Gender,Category,Attribute,Value
1/1/2010,NORTH-EAST REGION,,income_from_work,sgd_8000_over,50462
1/1/2015,NORTH REGION,,mode_of_transport_work,lorry_pickup,8300
1/1/2010,CENTRAL REGION,,household_structure,no_family_nucleus,80569
1/1/2000,WEST REGION,,industry,manufacturing,91441
1/1/2020,EAST REGION,,education_attending,secondary,27466
1/1/2015,NORTH REGION,male,age_group,age_0_4,13790
1/1/2015,CENTRAL REGION,female,age_group,age_75_79,16690
1/1/2000,EAST REGION,,income_from_work,sgd_9000_to_9999,
1/1/2000,EAST REGION,female,marital_status,,
1/1/2000,WEST REGION,,language_literate,l3_eng_mal_tam,2045
1/1/2010,EAST REGION,,dwelling_type_population,total,692340
1/1/2020,EAST REGION,,mode_of_transport_work,pvt_chartered_bus_van,6303
1/1/2020,NORTH-EAST REGION,female,age_group,age_50_54,31470
1/1/2020,EAST REGION,,household_income,sgd_15000_to_17499,12868
1/1/2000,CENTRAL REGION,,industry,health_social_services,0
1/1/2010,EAST REGION,,mode_of_transport_work,others,21876
1/1/2000,NORTH-EAST REGION,,industry,information_communications,0
1/1/2010,CENTRAL REGION,female,age_group,age_10_14,24160
1/1/2000,NORTH-EAST REGION,male,economic_status,unemployed,8984
1/1/2020,CENTRAL REGION,male,marital_status,married,214106
1/1/2015,WEST REGION,,mode_of_transport_work,mrt,54800
1/1/2000,WEST REGION,,mode_of_transport_school,other_combi_mrt_lrt_or_bus,0
1/1/2000,NORTH-EAST REGION,,language_spoken_at_home,oth_ind_lang_oth_lang,0
1/1/2020,EAST REGION,,dwelling_type_population,hdb_4_room_flats,204890
1/1/2020,CENTRAL REGION,,dwelling_type_population,landed_properties,84020
1/1/2010,NORTH REGION,,tenancy,others,1415
1/1/2000,NORTH-EAST REGION,male,marital_status,widowed,4012
1/1/2000,NORTH-EAST REGION,,dwelling_type_population,others,5020
1/1/2020,NORTH-EAST REGION,female,ethnic_distribution,malays,45240
1/1/2015,EAST REGION,male,ethnic_distribution,indian,30290
1/1/2020,NORTH REGION,,mode_of_transport_school,lorry_pickup,182
1/1/2015,CENTRAL REGION,,language_literate,l1_non_off,1100
1/1/2020,NORTH REGION,,mode_of_transport_school,car,9776
1/1/2020,NORTH REGION,,language_spoken_at_home,oth_lang_eng,2932
1/1/2000,WEST REGION,male,age_group,age_35_39,39460
1/1/2015,NORTH REGION,,dwelling_type_household,hdb_5_room_and_executive_flats,49800
1/1/2010,NORTH REGION,,household_size,person5,24007
1/1/2020,EAST REGION,,income_from_work,sgd_12000_over,0
1/1/2010,NORTH-EAST REGION,,household_income,sgd_12000_to_12999,
1/1/2000,WEST REGION,,mode_of_transport_school,other_combi_mrt_or_bus,0
1/1/2010,NORTH REGION,female,ethnic_distribution,indian,25908
1/1/2000,CENTRAL REGION,,household_size,person3,52465
1/1/2000,EAST REGION,,mode_of_transport_work,mrt_lrt_and_bus,0
1/1/2020,NORTH-EAST REGION,,mode_of_transport_school,mrt_lrt_and_bus,33356
1/1/2020,NORTH-EAST REGION,male,age_group,age_5_9,27170
1/1/2020,WEST REGION,,mode_of_transport_work,mrt_other,0
1/1/2020,CENTRAL REGION,,mode_of_transport_school,mrt,0
1/1/2000,NORTH REGION,,mode_of_transport_work,mrt_bus,34506
1/1/2010,WEST REGION,female,economic_status,inactive,168745
1/1/2010,CENTRAL REGION,female,age_group,age_35_39,40390
1/1/2020,NORTH REGION,,mode_of_transport_work,motorcycle_scooter,14972
1/1/2015,CENTRAL REGION,,household_structure,three_more_fam_nucleus,
1/1/2020,CENTRAL REGION,,industry,financial_insurance_services,57982
1/1/2020,EAST REGION,,household_structure,tfn_3_more_gen,10121
1/1/2010,EAST REGION,,education_attending,primary,53645
1/1/2000,EAST REGION,,industry,public_admin_education,0
1/1/2010,NORTH REGION,,mode_of_transport_work,mrt_lrt_and_bus,0
1/1/2010,NORTH-EAST REGION,male,age_group,age_50_54,30030
1/1/2015,NORTH REGION,,education_attending,post_secondary,9700
1/1/2015,WEST REGION,female,age_group,age_35_39,35560
1/1/2010,NORTH REGION,male,age_group,age_5_9,17320
1/1/2010,NORTH REGION,,mode_of_transport_school,pvt_chartered_bus_van,0
1/1/2000,EAST REGION,female,ethnic_distribution,indian,18908
1/1/2000,EAST REGION,,household_income,sgd_5000_to_5999,14494
1/1/2000,EAST REGION,,income_from_work,sgd_3000_to_3999,45013
1/1/2000,EAST REGION,,mode_of_transport_school,motorcycle_scooter,666
1/1/2000,EAST REGION,,household_structure,tfn_3_more_gen,7308
1/1/2020,NORTH-EAST REGION,,income_from_work,sgd_10000_to_10999,17951
1/1/2000,CENTRAL REGION,,industry,financial_insurance_services,29844
1/1/2010,NORTH-EAST REGION,,language_spoken_at_home,,
1/1/2015,NORTH-EAST REGION,,religion,catholic_christian,56900
1/1/2010,CENTRAL REGION,,language_spoken_at_home,chinese_dialects,151415
1/1/2000,WEST REGION,,mode_of_transport_work,mrt_other,0
1/1/2000,NORTH-EAST REGION,,language_spoken_at_home,eng_oth_ind_lang,0
1/1/2000,NORTH-EAST REGION,male,age_group,age_5_9,21900
1/1/2020,EAST REGION,,mode_of_transport_work,mrt_lrt_and_bus,91517
1/1/2000,WEST REGION,,household_income,sgd_1000_to_1999,23927
1/1/2000,NORTH REGION,male,age_group,age_55_59,5440
1/1/2015,NORTH REGION,,language_literate,l3_eng_chi_mal,
1/1/2020,WEST REGION,male,ethnic_distribution,chinese,326220
1/1/2000,WEST REGION,,income_from_work,sgd_7000_to_7999,
1/1/2020,EAST REGION,,industry,arts_entertainment_recreation,5538
1/1/2020,WEST REGION,,industry,real_estate_services,11398
1/1/2000,NORTH-EAST REGION,,income_from_work,sgd_3000_to_3999,38681
1/1/2015,EAST REGION,,language_spoken_at_home,malay,98800
1/1/2020,CENTRAL REGION,,industry,other_services_industries,
1/1/2010,NORTH-EAST REGION,,household_structure,ofn_3_more_gen,14957
1/1/2010,NORTH-EAST REGION,,household_income,total,223806
1/1/2015,WEST REGION,male,economic_status,unemployed,10800
1/1/2010,WEST REGION,female,age_group,total,447210
1/1/2015,NORTH-EAST REGION,,language_spoken_at_home,others,3600
1/1/2010,NORTH-EAST REGION,,language_spoken_at_home,tml_oth_lang,0
1/1/2020,CENTRAL REGION,female,age_group,age_50_54,33820
1/1/2000,NORTH-EAST REGION,,household_income,sgd_11000_to_11999,
1/1/2000,WEST REGION,male,age_group,age_65_69,6980
1/1/2020,NORTH-EAST REGION,,household_size,person7,6726
1/1/2010,NORTH REGION,,industry,hotels_restaurants,0
1/1/2020,NORTH-EAST REGION,,household_income,sgd_1000_to_1999,15243
1/1/2020,CENTRAL REGION,,household_income,sgd_10000_over,0
1/1/2015,NORTH REGION,,language_literate,l1_eng,31400
1/1/2010,NORTH REGION,,dwelling_type_population,hdb_4_room_flats,227680
1/1/2015,NORTH-EAST REGION,,mode_of_transport_work,pvt_chartered_bus_van,0
1/1/2015,WEST REGION,,mode_of_transport_school,pvt_chartered_bus,15200
1/1/2010,WEST REGION,,mode_of_transport_school,other_combi_mrt_or_bus,0
1/1/2015,CENTRAL REGION,male,age_group,age_25_29,27650
1/1/2010,NORTH REGION,,household_income,sgd_15000_to_17499,
1/1/2000,EAST REGION,,religion,taoism,31705
