End of Period / SORA Value Date,Month,Day,Date,3-Month US$ SIBOR
1999,Jan,07,07-Jan-1999,5.63
1999,Jan,08,08-Jan-1999,5.63
1999,Jan,11,11-Jan-1999,5
1999,Jan,12,12-Jan-1999,5.63
1999,Jan,13,13-Jan-1999,5
1999,Jan,14,14-Jan-1999,5
1999,Jan,15,15-Jan-1999,5.63
1999,Jan,18,18-Jan-1999,4.94
1999,Jan,20,20-Jan-1999,4.94
1999,Jan,21,21-Jan-1999,5.56
1999,Jan,22,22-Jan-1999,5.56
1999,Jan,25,25-Jan-1999,4.94
1999,Jan,26,26-Jan-1999,4.94
1999,Jan,27,27-Jan-1999,4.94
1999,Jan,28,28-Jan-1999,5.5
1999,Jan,29,29-Jan-1999,4.97
1999,Feb,01,01-Feb-1999,4.94
1999,Feb,02,02-Feb-1999,4.94
1999,Feb,03,03-Feb-1999,4.94
1999,Feb,04,04-Feb-1999,4.94
1999,Feb,05,05-Feb-1999,4.94
1999,Feb,08,08-Feb-1999,5.25
1999,Feb,09,09-Feb-1999,4.94
1999,Feb,10,10-Feb-1999,4.94
1999,Feb,11,11-Feb-1999,4.94
1999,Feb,12,12-Feb-1999,4.97
1999,Feb,15,15-Feb-1999,5.25
1999,Feb,18,18-Feb-1999,4.94
1999,Feb,19,19-Feb-1999,4.97
1999,Feb,22,22-Feb-1999,5.31
1999,Feb,23,23-Feb-1999,4.94
1999,Feb,24,24-Feb-1999,5.31
1999,Feb,25,25-Feb-1999,4.94
1999,Feb,26,26-Feb-1999,5.25
1999,Mar,01,01-Mar-1999,5
1999,Mar,02,02-Mar-1999,5.25
1999,Mar,03,03-Mar-1999,5
1999,Mar,04,04-Mar-1999,5
1999,Mar,05,05-Mar-1999,5.19
1999,Mar,08,08-Mar-1999,5.13
1999,Mar,09,09-Mar-1999,4.94
1999,Mar,10,10-Mar-1999,4.94
1999,Mar,11,11-Mar-1999,5
1999,Mar,12,12-Mar-1999,5
1999,Mar,15,15-Mar-1999,5
1999,Mar,16,16-Mar-1999,4.94
1999,Mar,17,17-Mar-1999,4.94
1999,Mar,18,18-Mar-1999,4.94
1999,Mar,19,19-Mar-1999,5
1999,Mar,22,22-Mar-1999,4.94
1999,Mar,23,23-Mar-1999,5
1999,Mar,24,24-Mar-1999,4.94
1999,Mar,25,25-Mar-1999,4.94
1999,Mar,26,26-Mar-1999,5
1999,Mar,30,30-Mar-1999,5.06
1999,Mar,31,31-Mar-1999,5.06
1999,Apr,01,01-Apr-1999,4.94
1999,Apr,05,05-Apr-1999,4.94
1999,Apr,06,06-Apr-1999,4.94
1999,Apr,07,07-Apr-1999,4.97
1999,Apr,08,08-Apr-1999,5.06
1999,Apr,09,09-Apr-1999,5.06
1999,Apr,12,12-Apr-1999,5.06
1999,Apr,13,13-Apr-1999,4.94
1999,Apr,14,14-Apr-1999,5
1999,Apr,15,15-Apr-1999,5
1999,Apr,16,16-Apr-1999,4.97
1999,Apr,19,19-Apr-1999,5
1999,Apr,20,20-Apr-1999,5
1999,Apr,21,21-Apr-1999,5
1999,Apr,22,22-Apr-1999,4.94
1999,Apr,23,23-Apr-1999,4.94
1999,Apr,26,26-Apr-1999,5
1999,Apr,27,27-Apr-1999,4.94
1999,Apr,28,28-Apr-1999,4.94
1999,Apr,29,29-Apr-1999,4.94
1999,Apr,30,30-Apr-1999,5
1999,May,03,03-May-1999,4.94
1999,May,04,04-May-1999,4.94
1999,May,05,05-May-1999,4.94
1999,May,06,06-May-1999,5.06
1999,May,07,07-May-1999,4.94
1999,May,10,10-May-1999,4.94
1999,May,11,11-May-1999,4.94
1999,May,12,12-May-1999,4.97
1999,May,13,13-May-1999,4.94
1999,May,14,14-May-1999,4.94
1999,May,17,17-May-1999,4.97
1999,May,18,18-May-1999,5
1999,May,19,19-May-1999,5.06
1999,May,20,20-May-1999,5
1999,May,21,21-May-1999,5
1999,May,24,24-May-1999,5
1999,May,25,25-May-1999,5.03
1999,May,26,26-May-1999,5.03
1999,May,27,27-May-1999,5
1999,May,28,28-May-1999,5.03
1999,May,31,31-May-1999,5.06
1999,Jun,01,01-Jun-1999,5.06
1999,Jun,02,02-Jun-1999,5.06
1999,Jun,03,03-Jun-1999,5.13
1999,Jun,04,04-Jun-1999,5.13
1999,Jun,07,07-Jun-1999,5.13
1999,Jun,08,08-Jun-1999,5.13
1999,Jun,09,09-Jun-1999,5.09
1999,Jun,10,10-Jun-1999,5.13
1999,Jun,11,11-Jun-1999,5.13
1999,Jun,14,14-Jun-1999,5.19
1999,Jun,15,15-Jun-1999,5.19
1999,Jun,16,16-Jun-1999,5.19
1999,Jun,17,17-Jun-1999,5.19
1999,Jun,18,18-Jun-1999,5.19
1999,Jun,21,21-Jun-1999,5.19
1999,Jun,22,22-Jun-1999,5.19
1999,Jun,23,23-Jun-1999,5.25
1999,Jun,24,24-Jun-1999,5.25
1999,Jun,25,25-Jun-1999,5.31
1999,Jun,28,28-Jun-1999,5.31
1999,Jun,29,29-Jun-1999,5.38
1999,Jun,30,30-Jun-1999,5.38
1999,Jul,01,01-Jul-1999,5.25
1999,Jul,02,02-Jul-1999,5.38
1999,Jul,05,05-Jul-1999,5.38
1999,Jul,06,06-Jul-1999,5.38
1999,Jul,07,07-Jul-1999,5.31
1999,Jul,08,08-Jul-1999,5.31
1999,Jul,09,09-Jul-1999,5.28
1999,Jul,12,12-Jul-1999,5.38
1999,Jul,13,13-Jul-1999,5.31
1999,Jul,14,14-Jul-1999,5.31
1999,Jul,15,15-Jul-1999,5.31
1999,Jul,16,16-Jul-1999,5.31
1999,Jul,19,19-Jul-1999,5.31
1999,Jul,20,20-Jul-1999,5.38
1999,Jul,21,21-Jul-1999,5.25
1999,Jul,22,22-Jul-1999,5.25
1999,Jul,23,23-Jul-1999,5.31
1999,Jul,26,26-Jul-1999,5.31
1999,Jul,27,27-Jul-1999,5.31
1999,Jul,28,28-Jul-1999,5.31
1999,Jul,29,29-Jul-1999,5.31
1999,Jul,30,30-Jul-1999,5.38
1999,Aug,02,02-Aug-1999,5.75
1999,Aug,03,03-Aug-1999,5.38
1999,Aug,04,04-Aug-1999,5.38
1999,Aug,05,05-Aug-1999,5.38
1999,Aug,06,06-Aug-1999,5.41
1999,Aug,10,10-Aug-1999,5.44
1999,Aug,11,11-Aug-1999,5.44
1999,Aug,12,12-Aug-1999,5.47
1999,Aug,13,13-Aug-1999,5.5
1999,Aug,16,16-Aug-1999,5.5
1999,Aug,17,17-Aug-1999,5.5
1999,Aug,18,18-Aug-1999,5.47
1999,Aug,19,19-Aug-1999,5.5
1999,Aug,20,20-Aug-1999,5.5
1999,Aug,23,23-Aug-1999,5.5
1999,Aug,24,24-Aug-1999,5.5
1999,Aug,25,25-Aug-1999,5.5
1999,Aug,26,26-Aug-1999,5.47
1999,Aug,27,27-Aug-1999,5.47
1999,Aug,30,30-Aug-1999,5.5
1999,Aug,31,31-Aug-1999,5.5
1999,Sep,01,01-Sep-1999,5.5
1999,Sep,02,02-Sep-1999,5.5
1999,Sep,03,03-Sep-1999,5.5
1999,Sep,06,06-Sep-1999,5.5
1999,Sep,07,07-Sep-1999,5.5
1999,Sep,08,08-Sep-1999,5.5
1999,Sep,09,09-Sep-1999,5.5
1999,Sep,10,10-Sep-1999,5.5
1999,Sep,13,13-Sep-1999,5.5
1999,Sep,14,14-Sep-1999,5.47
1999,Sep,15,15-Sep-1999,5.47
1999,Sep,16,16-Sep-1999,5.5
1999,Sep,17,17-Sep-1999,5.5
1999,Sep,20,20-Sep-1999,5.5
1999,Sep,21,21-Sep-1999,5.5
1999,Sep,22,22-Sep-1999,5.5
1999,Sep,23,23-Sep-1999,5.47
1999,Sep,24,24-Sep-1999,5.5
1999,Sep,27,27-Sep-1999,5.5
1999,Sep,28,28-Sep-1999,5.5
1999,Sep,29,29-Sep-1999,6
1999,Sep,30,30-Sep-1999,6.06
1999,Oct,01,01-Oct-1999,6.06
1999,Oct,04,04-Oct-1999,6.06
1999,Oct,05,05-Oct-1999,6.19
1999,Oct,06,06-Oct-1999,6.13
1999,Oct,07,07-Oct-1999,6.19
1999,Oct,08,08-Oct-1999,6.19
1999,Oct,11,11-Oct-1999,6.19
1999,Oct,12,12-Oct-1999,6.19
1999,Oct,13,13-Oct-1999,6.19
1999,Oct,14,14-Oct-1999,6.19
1999,Oct,15,15-Oct-1999,6.19
1999,Oct,18,18-Oct-1999,5.44
1999,Oct,19,19-Oct-1999,6.25
1999,Oct,20,20-Oct-1999,6.19
1999,Oct,21,21-Oct-1999,6.25
1999,Oct,22,22-Oct-1999,5.31
1999,Oct,25,25-Oct-1999,5.25
1999,Oct,26,26-Oct-1999,6.38
1999,Oct,27,27-Oct-1999,6.31
1999,Oct,28,28-Oct-1999,5.31
1999,Oct,29,29-Oct-1999,6.31
1999,Nov,01,01-Nov-1999,6.19
1999,Nov,02,02-Nov-1999,6.31
1999,Nov,03,03-Nov-1999,6.16
1999,Nov,04,04-Nov-1999,6.31
1999,Nov,05,05-Nov-1999,6.13
1999,Nov,09,09-Nov-1999,6.06
1999,Nov,10,10-Nov-1999,6.06
1999,Nov,11,11-Nov-1999,6.03
1999,Nov,12,12-Nov-1999,6.06
1999,Nov,15,15-Nov-1999,6.06
1999,Nov,16,16-Nov-1999,6.06
1999,Nov,17,17-Nov-1999,6.13
1999,Nov,18,18-Nov-1999,6.06
1999,Nov,19,19-Nov-1999,6.06
1999,Nov,22,22-Nov-1999,6.22
1999,Nov,23,23-Nov-1999,6.06
1999,Nov,24,24-Nov-1999,6.06
1999,Nov,25,25-Nov-1999,6.25
1999,Nov,26,26-Nov-1999,6.25
1999,Nov,29,29-Nov-1999,6.25
1999,Nov,30,30-Nov-1999,6.09
1999,Dec,01,01-Dec-1999,6.25
1999,Dec,02,02-Dec-1999,6.25
1999,Dec,03,03-Dec-1999,6.13
1999,Dec,06,06-Dec-1999,6.25
1999,Dec,07,07-Dec-1999,6.25
1999,Dec,08,08-Dec-1999,6.13
1999,Dec,09,09-Dec-1999,6.13
1999,Dec,10,10-Dec-1999,6.13
1999,Dec,13,13-Dec-1999,6.13
1999,Dec,14,14-Dec-1999,6.13
1999,Dec,15,15-Dec-1999,6.13
1999,Dec,16,16-Dec-1999,6.13
1999,Dec,17,17-Dec-1999,6.13
1999,Dec,20,20-Dec-1999,6.19
1999,Dec,21,21-Dec-1999,6.19
1999,Dec,22,22-Dec-1999,6.38
1999,Dec,23,23-Dec-1999,6.44
1999,Dec,24,24-Dec-1999,6.25
1999,Dec,27,27-Dec-1999,6.06
1999,Dec,28,28-Dec-1999,6.06
1999,Dec,29,29-Dec-1999,6.06
1999,Dec,30,30-Dec-1999,6.06
2000,Jan,03,03-Jan-2000,6
2000,Jan,04,04-Jan-2000,6.02
2000,Jan,05,05-Jan-2000,6.03
2000,Jan,06,06-Jan-2000,6.03
2000,Jan,07,07-Jan-2000,6.03
2000,Jan,10,10-Jan-2000,6.03
2000,Jan,11,11-Jan-2000,6.03
2000,Jan,12,12-Jan-2000,6.03
2000,Jan,13,13-Jan-2000,6.04
2000,Jan,14,14-Jan-2000,6.04
2000,Jan,17,17-Jan-2000,6.04
2000,Jan,18,18-Jan-2000,6.04
2000,Jan,19,19-Jan-2000,6.04
2000,Jan,20,20-Jan-2000,6.04
2000,Jan,21,21-Jan-2000,6.04
2000,Jan,24,24-Jan-2000,6.04
2000,Jan,25,25-Jan-2000,6.04
2000,Jan,26,26-Jan-2000,6.04
2000,Jan,27,27-Jan-2000,6.04
2000,Jan,28,28-Jan-2000,6.04
2000,Jan,31,31-Jan-2000,6.07
2000,Feb,01,01-Feb-2000,6.08
2000,Feb,02,02-Feb-2000,6.11
2000,Feb,03,03-Feb-2000,6.1
2000,Feb,04,04-Feb-2000,6.09
2000,Feb,08,08-Feb-2000,6.1
2000,Feb,09,09-Feb-2000,6.09
2000,Feb,10,10-Feb-2000,6.1
2000,Feb,11,11-Feb-2000,6.1
2000,Feb,14,14-Feb-2000,6.09
2000,Feb,15,15-Feb-2000,6.09
2000,Feb,16,16-Feb-2000,6.09
2000,Feb,17,17-Feb-2000,6.09
2000,Feb,18,18-Feb-2000,6.09
2000,Feb,21,21-Feb-2000,6.11
2000,Feb,22,22-Feb-2000,6.11
2000,Feb,23,23-Feb-2000,6.11
2000,Feb,24,24-Feb-2000,6.11
2000,Feb,25,25-Feb-2000,6.1
2000,Feb,28,28-Feb-2000,6.1
2000,Feb,29,29-Feb-2000,6.1
2000,Mar,01,01-Mar-2000,6.1
2000,Mar,02,02-Mar-2000,6.11
2000,Mar,03,03-Mar-2000,6.12
2000,Mar,06,06-Mar-2000,6.12
2000,Mar,07,07-Mar-2000,6.12
2000,Mar,08,08-Mar-2000,6.13
2000,Mar,09,09-Mar-2000,6.13
2000,Mar,10,10-Mar-2000,6.14
2000,Mar,13,13-Mar-2000,6.15
2000,Mar,14,14-Mar-2000,6.15
2000,Mar,15,15-Mar-2000,6.16
2000,Mar,17,17-Mar-2000,6.19
2000,Mar,20,20-Mar-2000,6.21
2000,Mar,21,21-Mar-2000,6.23
2000,Mar,22,22-Mar-2000,6.24
2000,Mar,23,23-Mar-2000,6.25
2000,Mar,24,24-Mar-2000,6.25
2000,Mar,27,27-Mar-2000,6.27
2000,Mar,28,28-Mar-2000,6.28
2000,Mar,29,29-Mar-2000,6.28
2000,Mar,30,30-Mar-2000,6.28
2000,Mar,31,31-Mar-2000,6.28
2000,Apr,03,03-Apr-2000,6.29
2000,Apr,04,04-Apr-2000,6.29
2000,Apr,05,05-Apr-2000,6.25
2000,Apr,06,06-Apr-2000,6.27
2000,Apr,07,07-Apr-2000,6.27
2000,Apr,10,10-Apr-2000,6.28
2000,Apr,11,11-Apr-2000,6.28
2000,Apr,12,12-Apr-2000,6.28
2000,Apr,13,13-Apr-2000,6.28
2000,Apr,14,14-Apr-2000,6.28
2000,Apr,17,17-Apr-2000,6.28
2000,Apr,18,18-Apr-2000,6.28
2000,Apr,19,19-Apr-2000,6.29
2000,Apr,20,20-Apr-2000,6.31
2000,Apr,24,24-Apr-2000,6.32
2000,Apr,25,25-Apr-2000,6.32
2000,Apr,26,26-Apr-2000,6.36
2000,Apr,27,27-Apr-2000,6.38
2000,Apr,28,28-Apr-2000,6.48
2000,May,02,02-May-2000,6.56
2000,May,03,03-May-2000,6.57
2000,May,04,04-May-2000,6.62
2000,May,05,05-May-2000,6.67
2000,May,08,08-May-2000,6.69
2000,May,09,09-May-2000,6.71
2000,May,10,10-May-2000,6.72
2000,May,11,11-May-2000,6.72
2000,May,12,12-May-2000,6.72
2000,May,15,15-May-2000,6.75
2000,May,16,16-May-2000,6.76
2000,May,17,17-May-2000,6.78
2000,May,19,19-May-2000,6.81
2000,May,22,22-May-2000,6.82
2000,May,23,23-May-2000,6.82
2000,May,24,24-May-2000,6.82
2000,May,25,25-May-2000,6.82
2000,May,26,26-May-2000,6.82
2000,May,29,29-May-2000,6.82
2000,May,30,30-May-2000,6.83
2000,May,31,31-May-2000,6.84
2000,Jun,01,01-Jun-2000,6.86
2000,Jun,02,02-Jun-2000,6.86
2000,Jun,05,05-Jun-2000,6.79
2000,Jun,06,06-Jun-2000,6.78
2000,Jun,07,07-Jun-2000,6.79
2000,Jun,08,08-Jun-2000,6.79
2000,Jun,09,09-Jun-2000,6.8
2000,Jun,12,12-Jun-2000,6.81
2000,Jun,13,13-Jun-2000,6.81
2000,Jun,14,14-Jun-2000,6.79
2000,Jun,15,15-Jun-2000,6.79
2000,Jun,16,16-Jun-2000,6.78
2000,Jun,19,19-Jun-2000,6.77
2000,Jun,20,20-Jun-2000,6.76
2000,Jun,21,21-Jun-2000,6.76
2000,Jun,22,22-Jun-2000,6.77
2000,Jun,23,23-Jun-2000,6.77
2000,Jun,26,26-Jun-2000,6.77
2000,Jun,27,27-Jun-2000,6.77
2000,Jun,28,28-Jun-2000,6.77
2000,Jun,29,29-Jun-2000,6.78
2000,Jun,30,30-Jun-2000,6.78
2000,Jul,03,03-Jul-2000,6.77
2000,Jul,04,04-Jul-2000,6.75
2000,Jul,05,05-Jul-2000,6.75
2000,Jul,06,06-Jul-2000,6.75
2000,Jul,07,07-Jul-2000,6.74
2000,Jul,10,10-Jul-2000,6.71
2000,Jul,11,11-Jul-2000,6.73
2000,Jul,12,12-Jul-2000,6.73
2000,Jul,13,13-Jul-2000,6.73
2000,Jul,14,14-Jul-2000,6.73
2000,Jul,17,17-Jul-2000,6.74
2000,Jul,18,18-Jul-2000,6.74
2000,Jul,19,19-Jul-2000,6.74
2000,Jul,20,20-Jul-2000,6.74
2000,Jul,21,21-Jul-2000,6.73
2000,Jul,24,24-Jul-2000,6.72
2000,Jul,25,25-Jul-2000,6.71
2000,Jul,26,26-Jul-2000,6.71
2000,Jul,27,27-Jul-2000,6.71
2000,Jul,28,28-Jul-2000,6.71
2000,Jul,31,31-Jul-2000,6.72
2000,Aug,01,01-Aug-2000,6.72
2000,Aug,02,02-Aug-2000,6.72
2000,Aug,03,03-Aug-2000,6.72
2000,Aug,04,04-Aug-2000,6.71
2000,Aug,07,07-Aug-2000,6.7
2000,Aug,08,08-Aug-2000,6.69
2000,Aug,10,10-Aug-2000,6.89
2000,Aug,11,11-Aug-2000,6.68
2000,Aug,14,14-Aug-2000,6.69
2000,Aug,15,15-Aug-2000,6.68
2000,Aug,16,16-Aug-2000,6.69
2000,Aug,17,17-Aug-2000,6.69
2000,Aug,18,18-Aug-2000,6.69
2000,Aug,21,21-Aug-2000,6.69
2000,Aug,22,22-Aug-2000,6.69
2000,Aug,23,23-Aug-2000,6.69
2000,Aug,24,24-Aug-2000,6.69
2000,Aug,25,25-Aug-2000,6.68
2000,Aug,28,28-Aug-2000,6.68
2000,Aug,29,29-Aug-2000,6.68
2000,Aug,30,30-Aug-2000,6.68
2000,Aug,31,31-Aug-2000,6.68
2000,Sep,01,01-Sep-2000,6.68
2000,Sep,04,04-Sep-2000,6.66
2000,Sep,05,05-Sep-2000,6.65
2000,Sep,06,06-Sep-2000,6.65
2000,Sep,07,07-Sep-2000,6.65
2000,Sep,08,08-Sep-2000,6.66
2000,Sep,11,11-Sep-2000,6.66
2000,Sep,12,12-Sep-2000,6.66
2000,Sep,13,13-Sep-2000,6.66
2000,Sep,14,14-Sep-2000,6.66
2000,Sep,15,15-Sep-2000,6.66
2000,Sep,18,18-Sep-2000,6.66
2000,Sep,19,19-Sep-2000,6.65
2000,Sep,20,20-Sep-2000,6.66
2000,Sep,21,21-Sep-2000,6.66
2000,Sep,22,22-Sep-2000,6.66
2000,Sep,25,25-Sep-2000,6.66
2000,Sep,26,26-Sep-2000,6.66
2000,Sep,27,27-Sep-2000,6.66
2000,Sep,28,28-Sep-2000,6.76
2000,Sep,29,29-Sep-2000,6.81
2000,Oct,02,02-Oct-2000,6.81
2000,Oct,03,03-Oct-2000,6.8
2000,Oct,04,04-Oct-2000,6.8
2000,Oct,05,05-Oct-2000,6.8
2000,Oct,06,06-Oct-2000,6.8
2000,Oct,09,09-Oct-2000,6.8
2000,Oct,10,10-Oct-2000,6.8
2000,Oct,11,11-Oct-2000,6.8
2000,Oct,12,12-Oct-2000,6.8
2000,Oct,13,13-Oct-2000,6.76
2000,Oct,16,16-Oct-2000,6.77
2000,Oct,17,17-Oct-2000,6.77
2000,Oct,18,18-Oct-2000,6.76
2000,Oct,19,19-Oct-2000,6.76
2000,Oct,20,20-Oct-2000,6.76
2000,Oct,23,23-Oct-2000,6.76
2000,Oct,24,24-Oct-2000,6.76
2000,Oct,25,25-Oct-2000,6.76
2000,Oct,27,27-Oct-2000,6.76
2000,Oct,30,30-Oct-2000,6.75
2000,Oct,31,31-Oct-2000,6.75
2000,Nov,01,01-Nov-2000,6.75
2000,Nov,02,02-Nov-2000,6.75
2000,Nov,03,03-Nov-2000,6.75
2000,Nov,06,06-Nov-2000,6.75
2000,Nov,07,07-Nov-2000,6.75
2000,Nov,08,08-Nov-2000,6.75
2000,Nov,09,09-Nov-2000,6.76
2000,Nov,10,10-Nov-2000,6.75
2000,Nov,13,13-Nov-2000,6.75
2000,Nov,14,14-Nov-2000,6.76
2000,Nov,15,15-Nov-2000,6.75
2000,Nov,16,16-Nov-2000,6.76
2000,Nov,17,17-Nov-2000,6.76
2000,Nov,20,20-Nov-2000,6.75
2000,Nov,21,21-Nov-2000,6.75
2000,Nov,22,22-Nov-2000,6.75
2000,Nov,23,23-Nov-2000,6.75
2000,Nov,24,24-Nov-2000,6.75
2000,Nov,27,27-Nov-2000,6.75
2000,Nov,28,28-Nov-2000,6.74
2000,Nov,29,29-Nov-2000,6.74
2000,Nov,30,30-Nov-2000,6.73
2000,Dec,01,01-Dec-2000,6.68
2000,Dec,04,04-Dec-2000,6.68
2000,Dec,05,05-Dec-2000,6.68
2000,Dec,06,06-Dec-2000,6.63
2000,Dec,07,07-Dec-2000,6.58
2000,Dec,08,08-Dec-2000,6.57
2000,Dec,11,11-Dec-2000,6.57
2000,Dec,12,12-Dec-2000,6.57
2000,Dec,13,13-Dec-2000,6.57
2000,Dec,14,14-Dec-2000,6.57
2000,Dec,15,15-Dec-2000,6.54
2000,Dec,18,18-Dec-2000,6.54
2000,Dec,19,19-Dec-2000,6.53
2000,Dec,20,20-Dec-2000,6.52
2000,Dec,21,21-Dec-2000,6.48
2000,Dec,22,22-Dec-2000,6.46
2000,Dec,26,26-Dec-2000,6.45
2000,Dec,28,28-Dec-2000,6.4
2000,Dec,29,29-Dec-2000,6.4
2001,Jan,02,02-Jan-2001,6.38
2001,Jan,03,03-Jan-2001,6.3
2001,Jan,04,04-Jan-2001,5.92
2001,Jan,05,05-Jan-2001,5.75
2001,Jan,08,08-Jan-2001,5.61
2001,Jan,09,09-Jan-2001,5.62
2001,Jan,10,10-Jan-2001,5.63
2001,Jan,11,11-Jan-2001,5.67
2001,Jan,12,12-Jan-2001,5.67
2001,Jan,15,15-Jan-2001,5.72
2001,Jan,16,16-Jan-2001,5.74
2001,Jan,17,17-Jan-2001,5.74
2001,Jan,18,18-Jan-2001,5.72
2001,Jan,19,19-Jan-2001,5.61
2001,Jan,22,22-Jan-2001,5.6
2001,Jan,23,23-Jan-2001,5.58
2001,Jan,26,26-Jan-2001,5.58
2001,Jan,29,29-Jan-2001,5.56
2001,Jan,30,30-Jan-2001,5.54
2001,Jan,31,31-Jan-2001,5.45
2001,Feb,01,01-Feb-2001,5.38
2001,Feb,02,02-Feb-2001,5.38
2001,Feb,05,05-Feb-2001,5.41
2001,Feb,06,06-Feb-2001,5.41
2001,Feb,07,07-Feb-2001,5.41
2001,Feb,08,08-Feb-2001,5.41
2001,Feb,09,09-Feb-2001,5.41
2001,Feb,12,12-Feb-2001,5.4
2001,Feb,13,13-Feb-2001,5.39
2001,Feb,14,14-Feb-2001,5.4
2001,Feb,15,15-Feb-2001,5.42
2001,Feb,16,16-Feb-2001,5.4
2001,Feb,19,19-Feb-2001,5.38
2001,Feb,20,20-Feb-2001,5.38
2001,Feb,21,21-Feb-2001,5.38
2001,Feb,22,22-Feb-2001,5.35
2001,Feb,23,23-Feb-2001,5.31
2001,Feb,26,26-Feb-2001,5.25
2001,Feb,27,27-Feb-2001,5.15
2001,Feb,28,28-Feb-2001,5.06
2001,Mar,01,01-Mar-2001,5.09
2001,Mar,02,02-Mar-2001,5.09
2001,Mar,05,05-Mar-2001,5.08
2001,Mar,07,07-Mar-2001,5.08
2001,Mar,08,08-Mar-2001,5.07
2001,Mar,09,09-Mar-2001,5.05
2001,Mar,12,12-Mar-2001,5.08
2001,Mar,13,13-Mar-2001,5.04
2001,Mar,14,14-Mar-2001,5.03
2001,Mar,15,15-Mar-2001,4.94
2001,Mar,16,16-Mar-2001,4.9
2001,Mar,19,19-Mar-2001,4.89
2001,Mar,20,20-Mar-2001,4.88
2001,Mar,21,21-Mar-2001,4.86
2001,Mar,22,22-Mar-2001,4.86
2001,Mar,23,23-Mar-2001,4.85
2001,Mar,26,26-Mar-2001,4.87
2001,Mar,27,27-Mar-2001,4.87
2001,Mar,28,28-Mar-2001,4.9
2001,Mar,29,29-Mar-2001,4.89
2001,Mar,30,30-Mar-2001,4.88
2001,Apr,02,02-Apr-2001,4.84
2001,Apr,03,03-Apr-2001,4.85
2001,Apr,04,04-Apr-2001,4.82
2001,Apr,05,05-Apr-2001,4.8
2001,Apr,06,06-Apr-2001,4.81
2001,Apr,09,09-Apr-2001,4.73
2001,Apr,10,10-Apr-2001,4.74
2001,Apr,11,11-Apr-2001,4.77
2001,Apr,12,12-Apr-2001,4.78
2001,Apr,16,16-Apr-2001,4.78
2001,Apr,17,17-Apr-2001,4.8
2001,Apr,18,18-Apr-2001,4.81
2001,Apr,19,19-Apr-2001,4.41
2001,Apr,20,20-Apr-2001,4.41
2001,Apr,23,23-Apr-2001,4.39
2001,Apr,24,24-Apr-2001,4.36
2001,Apr,25,25-Apr-2001,4.35
2001,Apr,26,26-Apr-2001,4.34
2001,Apr,27,27-Apr-2001,4.32
2001,Apr,30,30-Apr-2001,4.34
2001,May,02,02-May-2001,4.31
2001,May,03,03-May-2001,4.31
2001,May,04,04-May-2001,4.27
2001,May,08,08-May-2001,4.09
2001,May,09,09-May-2001,4.07
2001,May,10,10-May-2001,4.06
2001,May,11,11-May-2001,4.06
2001,May,14,14-May-2001,4.12
2001,May,15,15-May-2001,4.12
2001,May,16,16-May-2001,4.02
2001,May,17,17-May-2001,4.03
2001,May,18,18-May-2001,4.04
2001,May,21,21-May-2001,4.06
2001,May,22,22-May-2001,4.06
2001,May,23,23-May-2001,4.06
2001,May,24,24-May-2001,4.05
2001,May,25,25-May-2001,4.03
2001,May,28,28-May-2001,4
2001,May,29,29-May-2001,3.99
2001,May,30,30-May-2001,4
2001,May,31,31-May-2001,4
2001,Jun,01,01-Jun-2001,3.95
2001,Jun,04,04-Jun-2001,3.94
2001,Jun,05,05-Jun-2001,3.94
2001,Jun,06,06-Jun-2001,3.92
2001,Jun,07,07-Jun-2001,3.9
2001,Jun,08,08-Jun-2001,3.9
2001,Jun,11,11-Jun-2001,3.91
2001,Jun,12,12-Jun-2001,3.89
2001,Jun,13,13-Jun-2001,3.88
2001,Jun,14,14-Jun-2001,3.87
2001,Jun,15,15-Jun-2001,3.85
2001,Jun,18,18-Jun-2001,3.81
2001,Jun,19,19-Jun-2001,3.76
2001,Jun,20,20-Jun-2001,3.75
2001,Jun,21,21-Jun-2001,3.72
2001,Jun,22,22-Jun-2001,3.73
2001,Jun,25,25-Jun-2001,3.71
2001,Jun,26,26-Jun-2001,3.7
2001,Jun,27,27-Jun-2001,3.71
2001,Jun,28,28-Jun-2001,3.79
2001,Jun,29,29-Jun-2001,3.83
2001,Jul,02,02-Jul-2001,3.83
2001,Jul,03,03-Jul-2001,3.82
2001,Jul,04,04-Jul-2001,3.82
2001,Jul,05,05-Jul-2001,3.82
2001,Jul,06,06-Jul-2001,3.81
2001,Jul,09,09-Jul-2001,3.79
2001,Jul,10,10-Jul-2001,3.78
2001,Jul,11,11-Jul-2001,3.77
2001,Jul,12,12-Jul-2001,3.77
2001,Jul,13,13-Jul-2001,3.77
2001,Jul,16,16-Jul-2001,3.76
2001,Jul,17,17-Jul-2001,3.76
2001,Jul,18,18-Jul-2001,3.76
2001,Jul,19,19-Jul-2001,3.7
2001,Jul,20,20-Jul-2001,3.7
2001,Jul,23,23-Jul-2001,3.7
2001,Jul,24,24-Jul-2001,3.7
2001,Jul,25,25-Jul-2001,3.7
2001,Jul,26,26-Jul-2001,3.7
2001,Jul,27,27-Jul-2001,3.7
2001,Jul,30,30-Jul-2001,3.68
2001,Jul,31,31-Jul-2001,3.68
2001,Aug,01,01-Aug-2001,3.65
2001,Aug,02,02-Aug-2001,3.65
2001,Aug,03,03-Aug-2001,3.66
