SORA Value Date,Month,Day,Date,SORA Publication Date,Compound SORA - 1 month
2005,Jul,1,1-Jul-2005,4-Jul-05,-
2005,Jul,4,4-Jul-2005,5-Jul-05,-
2005,Jul,5,5-Jul-2005,6-Jul-05,-
2005,Jul,6,6-Jul-2005,7-Jul-05,-
2005,Jul,7,7-Jul-2005,8-Jul-05,-
2005,Jul,8,8-Jul-2005,11-Jul-05,-
2005,Jul,11,11-Jul-2005,12-Jul-05,-
2005,Jul,12,12-Jul-2005,13-Jul-05,-
2005,Jul,13,13-Jul-2005,14-Jul-05,-
2005,Jul,14,14-Jul-2005,15-Jul-05,-
2005,Jul,15,15-Jul-2005,18-Jul-05,-
2005,Jul,18,18-Jul-2005,19-Jul-05,-
2005,Jul,19,19-Jul-2005,20-Jul-05,-
2005,Jul,20,20-Jul-2005,21-Jul-05,-
2005,Jul,21,21-Jul-2005,22-Jul-05,-
2005,Jul,22,22-Jul-2005,25-Jul-05,-
2005,Jul,25,25-Jul-2005,26-Jul-05,-
2005,Jul,26,26-Jul-2005,27-Jul-05,-
2005,Jul,27,27-Jul-2005,28-Jul-05,-
2005,Jul,28,28-Jul-2005,29-Jul-05,-
2005,Jul,29,29-Jul-2005,1-Aug-05,-
2005,Aug,1,1-Aug-2005,2-Aug-05,-
2005,Aug,2,2-Aug-2005,3-Aug-05,-
2005,Aug,3,3-Aug-2005,4-Aug-05,1.7611
2005,Aug,4,4-Aug-2005,5-Aug-05,1.7618
2005,Aug,5,5-Aug-2005,8-Aug-05,1.7597
2005,Aug,8,8-Aug-2005,10-Aug-05,1.758
2005,Aug,10,10-Aug-2005,11-Aug-05,1.7577
2005,Aug,11,11-Aug-2005,12-Aug-05,1.7571
2005,Aug,12,12-Aug-2005,15-Aug-05,1.7592
2005,Aug,15,15-Aug-2005,16-Aug-05,1.7595
2005,Aug,16,16-Aug-2005,17-Aug-05,1.7597
2005,Aug,17,17-Aug-2005,18-Aug-05,1.7581
2005,Aug,18,18-Aug-2005,19-Aug-05,1.7577
2005,Aug,19,19-Aug-2005,22-Aug-05,1.7557
2005,Aug,22,22-Aug-2005,23-Aug-05,1.7555
2005,Aug,23,23-Aug-2005,24-Aug-05,1.7594
2005,Aug,24,24-Aug-2005,25-Aug-05,1.7638
2005,Aug,25,25-Aug-2005,26-Aug-05,1.7629
2005,Aug,26,26-Aug-2005,29-Aug-05,1.7626
2005,Aug,29,29-Aug-2005,30-Aug-05,1.7643
2005,Aug,30,30-Aug-2005,31-Aug-05,1.7693
2005,Aug,31,31-Aug-2005,1-Sep-05,1.7758
2005,Sep,1,1-Sep-2005,2-Sep-05,1.7822
2005,Sep,2,2-Sep-2005,5-Sep-05,1.8005
2005,Sep,5,5-Sep-2005,6-Sep-05,1.8063
2005,Sep,6,6-Sep-2005,7-Sep-05,1.8147
2005,Sep,7,7-Sep-2005,8-Sep-05,1.8247
2005,Sep,8,8-Sep-2005,9-Sep-05,1.8297
2005,Sep,9,9-Sep-2005,12-Sep-05,1.8486
2005,Sep,12,12-Sep-2005,13-Sep-05,1.8572
2005,Sep,13,13-Sep-2005,14-Sep-05,1.869
2005,Sep,14,14-Sep-2005,15-Sep-05,1.8807
2005,Sep,15,15-Sep-2005,16-Sep-05,1.8956
2005,Sep,16,16-Sep-2005,19-Sep-05,1.9441
2005,Sep,19,19-Sep-2005,20-Sep-05,1.956
2005,Sep,20,20-Sep-2005,21-Sep-05,1.9697
2005,Sep,21,21-Sep-2005,22-Sep-05,1.9854
2005,Sep,22,22-Sep-2005,23-Sep-05,2.0015
2005,Sep,23,23-Sep-2005,26-Sep-05,2.0485
2005,Sep,26,26-Sep-2005,27-Sep-05,2.0655
2005,Sep,27,27-Sep-2005,28-Sep-05,2.0826
2005,Sep,28,28-Sep-2005,29-Sep-05,2.0982
2005,Sep,29,29-Sep-2005,30-Sep-05,2.1118
2005,Sep,30,30-Sep-2005,3-Oct-05,2.1452
2005,Oct,3,3-Oct-2005,4-Oct-05,2.1508
2005,Oct,4,4-Oct-2005,5-Oct-05,2.1554
2005,Oct,5,5-Oct-2005,6-Oct-05,2.1578
2005,Oct,6,6-Oct-2005,7-Oct-05,2.1596
2005,Oct,7,7-Oct-2005,10-Oct-05,2.1728
2005,Oct,10,10-Oct-2005,11-Oct-05,2.1794
2005,Oct,11,11-Oct-2005,12-Oct-05,2.1887
2005,Oct,12,12-Oct-2005,13-Oct-05,2.1983
2005,Oct,13,13-Oct-2005,14-Oct-05,2.2033
2005,Oct,14,14-Oct-2005,17-Oct-05,2.2054
2005,Oct,17,17-Oct-2005,18-Oct-05,2.2043
2005,Oct,18,18-Oct-2005,19-Oct-05,2.2009
